,Phy Data
0,1.66635
1,1.24132
2,1.04973
3,1.04973
4,2.0995100000000004
5,1.58305
6,2.2912
7,1.58305
8,1.80796
9,1.18301
10,1.80796
11,2.07452
12,1.90792
13,1.51621
14,1.58305
15,1.72466
16,1.61637
17,1.89126
18,2.6743300000000003
19,2.31589
20,2.18281
21,1.09143
22,1.7080000000000002
23,3.06559
24,2.04953
25,1.7078
26,2.22446
27,1.77469
28,2.02454
29,1.82462
30,1.13303
31,1.7829700000000002
32,1.09138
33,1.63308
34,1.59138
35,1.93296
36,1.63308
37,1.9579
38,1.00808
39,1.70805
40,1.72471
41,1.74132
42,1.60804
43,1.27464
44,1.84128
45,2.94069
46,1.08305
47,1.71638
48,1.04973
49,1.6913399999999998
50,2.7074
51,2.40797
52,0.9165
53,1.80801
54,1.81634
55,1.71638
56,1.94129
57,2.44129
58,2.43296
59,1.55806
60,1.02474
61,1.54973
62,1.64136
63,2.22471
64,1.71638
65,1.83295
66,2.59123
67,1.93296
68,2.63288
69,1.0330700000000002
70,1.55806
71,1.95795
72,2.40797
73,2.21638
74,1.71638
75,1.49142
76,1.61637
77,1.71638
78,1.63303
79,1.71638
80,1.59138
81,1.32462
82,2.26636
83,1.5412
84,2.51606
85,2.9994
86,2.75783
87,2.21638
88,1.2746400000000002
89,2.47436
90,1.69134
91,2.38273
92,2.33275
93,1.63308
94,1.708
95,1.72466
96,1.08305
97,1.96628
98,1.58305
99,1.04973
100,1.08305
101,1.10804
102,1.7829700000000002
103,1.73299
104,1.66635
105,1.27464
106,1.2829700000000002
107,1.71638
108,1.72466
109,1.6913399999999998
110,1.50808
111,1.54973
112,1.82462
113,2.14116
114,2.0829000000000004
115,1.93271
116,1.71638
117,1.6247
118,1.71638
119,1.30796
120,1.76636
121,1.18301
122,1.59138
123,1.59138
124,1.73299
125,1.84961
126,1.13303
127,1.4581
128,1.19134
129,1.7080000000000002
130,1.58305
131,1.95795
132,1.86627
133,1.81634
134,1.76636
135,1.71638
136,1.66635
137,1.67468
138,1.27464
139,1.93296
140,1.81629
141,1.76636
142,1.54973
143,1.81634
144,1.79963
145,1.86632
146,1.98289
147,2.15782
148,2.27424
149,1.66635
150,1.59138
151,1.4581
152,2.39944
153,1.47456
154,1.68301
155,1.60804
156,2.0829000000000004
157,1.50808
158,1.92463
159,2.88253
160,1.89106
161,2.4741600000000004
162,1.86612
163,3.065840000000001
164,1.12475
165,1.44124
166,2.6241
167,1.78297
168,1.76636
169,1.71638
170,1.1663499999999998
171,1.81634
172,1.84128
173,1.7080000000000002
174,2.03292
175,1.74132
176,1.85799
177,1.63303
178,1.93291
179,1.83295
180,1.86632
181,1.71638
182,1.42458
183,1.70805
184,1.13303
185,2.17448
186,2.03287
187,1.73299
188,1.59138
189,1.89126
190,1.23299
191,1.59956
192,1.7080000000000002
193,2.49107
194,1.80781
195,2.24945
196,3.06584
197,1.54953
198,1.74132
199,1.52474
200,1.91625
201,1.71638
202,1.63303
203,1.81634
204,2.04125
205,1.24965
206,1.6913399999999998
207,1.93291
208,1.71638
209,2.29928
210,2.11617
211,1.9996
212,1.94129
213,1.6578199999999998
214,1.68301
215,1.00808
216,1.63303
217,1.91625
218,2.03292
219,1.56639
220,1.71638
221,1.82462
222,0.9664299999999998
223,2.19932
224,1.81629
225,1.69967
226,1.64136
227,1.70805
228,1.73299
229,1.58305
230,1.65787
231,1.19134
232,1.59138
233,1.59138
234,1.69967
235,1.69967
236,1.54973
237,1.63303
238,1.58305
239,1.59138
240,1.58305
241,1.50808
242,1.94129
243,1.4581
244,1.4581
245,1.18301
246,1.54973
247,1.64136
248,1.79963
249,1.80796
250,1.5412
251,1.64949
252,1.76631
253,1.56639
254,1.89964
