,T_Phy Data [ms],T_Phy Ctrl [ms],Phy Layer Delay
0,0.36651999999999996,1.23319,1.66635
1,0.39984,0.7415200000000001,1.24132
2,0.2498999999999999,0.73319,1.04973
3,0.29155,1.36652,1.80801
4,0.34986,1.35819,1.81634
5,0.2499,1.35819,1.71638
6,0.35819,1.36652,1.94129
7,0.39984,1.86652,2.44129
8,0.34986,1.8748500000000001,2.43296
9,0.17493,1.24152,1.54973
10,0.29988000000000004,1.23319,1.64136
11,0.29988000000000004,1.85819,2.22471
12,0.2499,1.35819,1.71638
13,0.44148999999999994,1.24152,1.83295
14,0.50813,1.86652,2.59123
15,0.34986,1.3748500000000001,1.93296
16,0.47481000000000007,1.8748500000000001,2.63288
17,0.4165,1.36652,1.95795
18,0.2499,1.85819,2.21638
19,0.2499,1.35819,1.71638
20,0.21658,1.23319,1.49142
21,0.2832199999999999,1.24152,1.61637
22,0.21658,1.24152,1.63303
23,0.2499,1.35819,1.71638
24,0.2499,1.23319,1.59138
25,0.40817000000000003,0.7415200000000001,1.32462
26,0.29988000000000004,1.85819,2.26636
27,0.4998,0.76651,1.5412
28,0.6247499999999999,1.4081700000000001,2.51606
29,0.2832199999999999,1.24152,1.6247
30,0.2499,1.35819,1.71638
31,0.34986,0.74985,1.30796
32,0.29988000000000004,1.35819,1.76636
33,0.34153,0.7415200000000001,1.18301
34,0.2499,1.23319,1.59138
35,0.31654000000000004,1.24152,1.73299
36,0.3915099999999999,1.2498500000000001,1.84961
37,0.18326,1.23319,1.4581
38,0.34986,0.73319,1.19134
39,0.40817000000000003,1.23319,1.7080000000000002
40,0.24157,1.24152,1.58305
41,0.44982,1.2498500000000001,1.86627
42,0.34986,1.35819,1.81634
43,0.29988000000000004,1.35819,1.76636
44,0.2499,1.35819,1.71638
45,0.36651999999999996,1.23319,1.66635
46,0.3332,1.23319,1.67468
47,0.3581899999999999,0.7415200000000001,1.27464
48,0.34986,1.3748500000000001,1.93296
49,0.35819,1.24152,1.81629
50,0.29988000000000004,1.35819,1.76636
51,0.2498999999999999,1.23319,1.54973
52,0.34986,1.35819,1.81634
53,0.34153,1.25818,1.79963
54,0.52479,1.25818,1.98289
55,0.32487000000000005,1.81629,2.18281
56,0.40817000000000003,1.23319,1.7080000000000002
57,0.5164599999999999,1.25818,2.04953
58,0.6747299999999998,0.7581800000000001,1.7078
59,0.29988,1.82462,2.22446
60,0.68306,1.24152,2.02454
61,0.40817000000000003,1.2498500000000001,1.82462
62,0.44149,1.24152,1.7829700000000002
63,0.29155,0.73319,1.09138
64,0.2499,1.23319,1.59138
65,0.34986,1.3748500000000001,1.93296
66,0.20825000000000002,1.35819,1.63308
67,0.20825000000000002,0.73319,1.00808
68,0.24157,1.36652,1.70805
69,0.27489,1.36652,1.72471
70,0.39984,1.24152,1.74132
71,0.4498199999999999,0.7415200000000001,1.27464
72,0.49979999999999997,1.24152,1.84128
73,0.22491,0.7415200000000001,1.04973
74,0.34986,1.23319,1.6913399999999998
75,0.49147,1.25818,2.0995100000000004
76,0.24157,1.24152,1.58305
77,0.24157,1.24152,1.58305
78,0.34153,0.7415200000000001,1.18301
79,0.34986,1.2498500000000001,1.80796
80,0.5581099999999999,1.25818,2.07452
81,0.22491,1.208,1.51621
82,0.30821,1.2498500000000001,1.72466
83,0.47480999999999995,1.24152,1.89126
84,0.7413700000000001,1.4165,2.6743300000000003
85,0.82467,0.8081600000000001,2.31589
86,0.39151,1.24152,1.78297
87,0.48314,0.7415200000000001,1.44124
88,0.20825000000000002,1.35819,1.63308
89,0.38317999999999997,1.24152,1.708
90,0.38318,1.24152,1.72466
91,0.24157,0.7415200000000001,1.08305
92,0.4997999999999999,1.35819,1.96628
93,0.24157,1.24152,1.58305
94,0.30821,0.73319,1.10804
95,0.36651999999999996,1.2498500000000001,1.7829700000000002
96,0.31654000000000004,1.24152,1.73299
97,0.36651999999999996,1.23319,1.66635
98,0.44149,0.7415200000000001,1.2829700000000002
99,0.2499,1.35819,1.71638
100,0.38318,1.24152,1.72466
101,0.34986,1.23319,1.6913399999999998
102,0.2498999999999999,1.23319,1.54973
103,0.40817000000000003,1.2498500000000001,1.82462
104,0.5331199999999999,1.25818,2.14116
105,0.42483000000000004,1.3748500000000001,2.0829000000000004
106,0.33319999999999994,0.7415200000000001,1.1663499999999998
107,0.34986,1.35819,1.81634
108,0.40817000000000003,1.23319,1.7080000000000002
109,0.44982,1.36652,2.03292
110,0.39984,1.24152,1.74132
111,0.29154999999999986,1.23319,1.63303
112,0.51646,1.24152,1.93291
113,0.4165,1.24152,1.83295
114,0.39984,1.35819,1.86632
115,0.50813,0.7415200000000001,1.42458
116,0.24157,1.36652,1.70805
117,0.29154999999999986,0.73319,1.13303
118,0.6913900000000001,1.23319,2.03287
119,0.47480999999999995,1.24152,1.89126
120,0.39151,0.73319,1.23299
121,0.20825000000000002,1.32467,1.59956
122,0.40817000000000003,1.23319,1.7080000000000002
123,0.75803,1.39151,2.49107
124,0.25823,1.333,1.80781
125,0.79135,1.24152,2.24945
126,0.78302,1.24152,2.15782
127,1.3328,0.7581800000000001,2.27424
128,0.2499,1.23319,1.59138
129,0.18326,1.23319,1.4581
130,0.93296,1.36652,2.39944
131,0.34153,1.24152,1.68301
132,0.42483000000000004,1.3748500000000001,2.0829000000000004
133,0.6247499999999999,0.78317,1.89106
134,1.01626,0.78317,2.4741600000000004
135,0.39151,1.23319,1.69134
136,0.4998,1.81629,2.38273
137,0.7163799999999999,1.26651,2.33275
138,0.44982,1.2498500000000001,1.90792
139,0.34986,1.23319,1.6913399999999998
140,0.39984,1.24152,1.74132
141,0.35819,1.36652,1.94129
142,0.36651999999999996,1.23319,1.66635
143,0.45815,1.24152,1.91625
144,0.55811,1.24152,2.01621
145,0.45815,1.24152,1.91625
146,0.3915099999999999,1.24152,1.72466
147,0.44148999999999994,0.74985,1.39126
148,0.39151,1.23319,1.73299
149,0.5831,1.2498500000000001,2.1161700000000003
150,0.40817,1.23319,1.74965
151,0.29988,1.82462,2.22446
152,0.50813,1.23319,1.80796
153,0.25823,1.85819,2.18306
154,0.34986,1.2498500000000001,1.80796
155,0.26656,1.8748500000000001,2.3080100000000003
156,0.19992,1.8994399999999998,2.19932
157,0.22491,1.86652,2.17473
158,0.24157,1.86652,2.20805
159,0.14994,1.23319,1.49142
160,0.35819,1.86652,2.44129
161,0.34986,1.3748500000000001,1.93296
162,0.34986,1.8748500000000001,2.43296
163,0.29988000000000004,1.85819,2.26636
164,0.34986,1.3748500000000001,1.93296
165,0.31654000000000004,1.86652,2.35799
166,0.24157,1.86652,2.20805
167,0.2665599999999999,1.86652,2.21638
168,0.31654000000000004,0.7415200000000001,1.23299
169,0.20825000000000002,1.23319,1.50808
170,0.2499,1.23319,1.59138
171,0.2499,1.32467,1.68286
172,0.20825000000000002,1.23319,1.50808
173,0.14994,0.73319,0.99142
174,0.24157,1.24152,1.58305
175,0.20825000000000002,1.23319,1.50808
176,0.2499,1.23319,1.59138
177,0.5497799999999999,1.2498500000000001,2.00788
178,0.23323999999999992,1.32462,1.64949
179,0.46648,1.23319,1.76631
180,0.23323999999999992,1.24152,1.56639
181,0.3581899999999999,1.36652,1.89964
182,0.39984,1.24152,1.74132
183,0.24157,1.24152,1.58305
184,0.34986,1.23319,1.6913399999999998
185,0.5164599999999999,1.2498500000000001,1.98289
186,0.34986,1.2498500000000001,1.80796
187,1.4161,0.76651,2.6074400000000004
188,0.44149,0.7415200000000001,1.2829700000000002
189,0.44982,0.74985,1.40792
190,0.2499,1.35819,1.71638
191,0.39984,1.24152,1.74132
192,0.29154999999999986,1.24152,1.6247
193,0.3331999999999999,0.7415200000000001,1.22466
194,0.4748099999999999,1.23319,1.81629
195,0.33319999999999994,1.24152,1.6663499999999998
196,0.39983999999999986,1.36652,1.98294
197,0.8329999999999999,1.2831700000000001,2.5493299999999994
198,0.9829399999999999,0.81649,2.54913
199,0.38318,0.7415200000000001,1.22466
200,0.19992,1.8994399999999998,2.19932
201,0.42482999999999993,1.2498500000000001,1.81629
202,0.37484999999999996,1.24152,1.69967
203,0.31654,1.24152,1.64136
204,0.24157,1.36652,1.70805
205,0.39150999999999997,1.24152,1.73299
206,0.24157,1.24152,1.58305
207,0.2499,1.23319,1.59138
208,0.2499,1.23319,1.59138
209,0.37484999999999996,1.24152,1.69967
210,0.37484999999999996,1.24152,1.69967
211,0.22491,1.24152,1.54973
212,0.24157,1.24152,1.58305
213,0.2499,1.23319,1.59138
214,0.20825000000000002,1.23319,1.50808
215,0.18326,1.23319,1.4581
216,0.18326,1.23319,1.4581
217,0.31654,1.24152,1.64136
218,0.4748099999999999,1.24152,1.79963
219,0.46648,0.74985,1.5412
220,0.59143,0.74985,1.54953
221,0.1915899999999999,1.24152,1.52474
222,0.2499,1.35819,1.71638
223,0.29154999999999986,1.23319,1.63303
224,0.34986,1.35819,1.81634
225,0.45815,1.36652,2.04125
226,0.40817,0.73319,1.24965
227,0.34986,1.23319,1.6913399999999998
228,0.2499,1.35819,1.71638
229,0.29988,1.8994399999999998,2.29928
230,0.53312,1.35819,1.9996
231,0.29155,1.24152,1.68301
232,0.29154999999999986,1.23319,1.63303
233,0.44982,1.3748500000000001,2.03292
234,0.2499,1.35819,1.71638
235,0.79135,1.2498500000000001,2.24945
236,0.44982,1.23319,1.7913
237,0.3915099999999999,1.24152,1.72466
238,0.4165,1.36652,1.95795
239,0.34986,1.23319,1.6913399999999998
240,0.5497799999999999,1.23319,1.89126
241,0.34986,1.23319,1.6913399999999998
242,0.34986,0.73319,1.19134
243,0.35819,1.36652,1.94129
244,0.34153,1.24152,1.68301
245,0.24157,1.36652,1.70805
246,0.34986,1.3748500000000001,1.93296
247,0.4165,1.24152,1.83295
248,0.47480999999999995,1.24152,1.89126
249,0.46648,1.23319,1.76631
250,0.29988000000000004,1.35819,1.76636
251,0.40817,1.19967,1.71613
252,0.3248699999999999,1.24152,1.6580199999999998
253,0.50813,1.23319,1.84961
254,0.39984,1.24152,1.74132
255,0.29155,1.24152,1.63303
256,0.24157,0.7415200000000001,1.08305
257,0.24157,1.24152,1.58305
258,0.48314,1.24152,1.82462
259,0.39150999999999997,1.24152,1.73299
260,0.45815,0.7415200000000001,1.41625
261,0.4165,1.24152,1.83295
262,0.2499,1.35819,1.71638
263,0.20825000000000002,1.35819,1.63308
264,0.2499,1.23319,1.59138
265,0.44149,1.24152,1.7829700000000002
266,0.73304,0.7748400000000001,1.99935
267,0.2499,1.35819,1.71638
268,0.42483,1.24152,1.76631
269,0.3915099999999999,0.74985,1.34961
270,0.24157,1.36652,1.70805
271,0.39983999999999986,0.7415200000000001,1.35794
272,0.4998,1.36652,2.0829
273,0.7580300000000001,1.24152,2.17448
274,0.71638,0.7581800000000001,1.90772
275,0.49147,0.74985,1.44957
276,0.36651999999999996,1.23319,1.66635
277,0.37485,1.36652,1.9163
278,0.2499,1.32467,1.68286
279,0.34986,1.23319,1.6913399999999998
280,0.50813,1.36652,2.04958
281,0.29154999999999986,0.73319,1.13303
282,0.4165,1.24152,1.83295
283,0.45815,1.24152,1.91625
284,0.44982,1.2498500000000001,1.90792
285,0.2499,1.8911099999999998,2.2493
286,0.57477,0.73319,1.41625
287,0.6497399999999998,1.27484,2.33275
288,0.59143,1.23319,1.93291
289,0.39984,1.35819,1.86632
290,0.34986,1.23319,1.6913399999999998
291,0.34986,1.35819,1.81634
292,0.50813,1.23319,1.80796
293,0.24157,1.24152,1.58305
294,0.44982,1.36652,2.03292
295,0.24157,1.24152,1.58305
296,0.34153,1.23319,1.68301
297,0.29154999999999986,1.23319,1.63303
298,0.39151,1.23319,1.73299
299,0.5497799999999999,1.90777,2.6658
300,0.55811,1.24152,2.01621
301,0.64141,1.24152,2.09951
302,0.35819,1.8994399999999998,2.47421
303,0.46648,1.23319,1.76631
304,0.18326,0.73319,0.9581
305,0.20825000000000002,1.23319,1.50808
306,0.4165,1.8994399999999998,2.53252
307,0.44982,1.36652,2.03292
308,0.71638,0.73319,1.55786
309,0.44982,1.23319,1.7913
310,0.5497799999999999,1.36652,2.13288
311,0.34986000000000006,1.23319,1.64969
312,0.34986,1.35819,1.81634
313,0.2499,0.73319,1.09138
314,0.20825000000000002,1.23319,1.50808
315,0.2499,1.35819,1.71638
316,0.39151,1.23319,1.73299
317,0.29154999999999986,0.73319,1.13303
318,0.29988000000000004,0.73319,1.09971
319,0.39984,1.35819,1.8163400000000005
320,0.43316,0.73319,1.27464
321,0.2499,0.73319,1.09138
322,0.6080899999999999,1.86652,2.69119
323,0.2499,1.85819,2.21638
324,0.2499,1.85819,2.21638
325,0.42483000000000004,1.8748500000000001,2.5829000000000004
326,0.20825000000000002,1.85819,2.13308
327,0.39983999999999986,1.36652,1.98294
328,0.35819,1.3413300000000001,1.9161
329,0.61642,1.8748500000000001,2.77449
330,0.2499,1.23319,1.59138
331,0.30821,1.85819,2.23304
332,0.0833,0.73319,0.8581399999999999
333,0.53312,1.23319,1.8746
334,0.39983999999999986,1.86652,2.48294
335,0.44982,1.36652,2.03292
336,0.2499,1.85819,2.21638
337,0.34153,1.23319,1.68301
338,0.20825,1.8911099999999998,2.20765
339,0.29988000000000004,1.85819,2.26636
340,0.2499,1.85819,2.21638
341,0.31654000000000004,1.86652,2.35799
342,0.40817000000000003,1.86652,2.44962
343,0.34153,1.85819,2.30801
344,0.44982,0.7415200000000001,1.4079199999999998
345,0.2499,1.23319,1.59138
346,0.39983999999999986,1.36652,1.98294
347,0.2499,1.35819,1.71638
348,0.2499,1.85819,2.21638
349,0.39983999999999986,1.36652,1.98294
350,0.29154999999999986,1.23319,1.63303
351,0.40817000000000003,1.82462,2.40772
352,0.5831,0.73319,1.42458
353,0.49147,1.90777,2.50753
354,0.4998,0.7415200000000001,1.4579
355,0.19158999999999998,0.73319,1.0330700000000002
356,0.28322,1.23319,1.5580599999999998
357,0.40817000000000003,1.23319,1.7080000000000002
358,0.50813,1.23319,1.84961
359,0.45815,0.7415200000000001,1.41625
360,0.5247900000000001,0.74985,1.5578600000000002
361,0.44982,1.23319,1.7913
362,0.30821,1.90777,2.38258
363,0.40817,1.23319,1.74965
364,0.4914699999999999,0.7415200000000001,1.44957
365,0.35819,1.24152,1.81629
366,0.44982,1.2163300000000001,1.8744
367,0.34153,1.35819,1.80801
368,0.29154999999999986,0.73319,1.13303
369,0.2499,1.23319,1.59138
370,0.28322,1.23319,1.5580599999999998
371,0.55811,1.24152,2.01621
372,0.39151,1.23319,1.73299
373,0.2249099999999999,0.73319,0.99975
374,0.2832199999999999,1.36652,1.7497
375,0.3332,1.19967,1.64116
376,0.39151,1.35819,1.85799
377,0.38318,0.7415200000000001,1.22466
378,0.29154999999999986,1.35819,1.75803
379,0.4165,1.24152,1.83295
380,0.75803,1.25818,2.33275
381,0.18326,1.23319,1.4581
382,0.39983999999999986,1.36652,1.98294
383,0.6580699999999999,0.7415200000000001,1.61617
384,0.5497799999999999,1.23319,1.89126
385,0.2499,1.23319,1.59138
386,0.61642,1.24152,2.07452
387,0.34986,0.73319,1.19134
388,0.39151,1.23319,1.73299
389,0.34986,1.23319,1.6913399999999998
390,0.5497799999999999,1.23319,1.89126
391,0.34986,1.2498500000000001,1.80796
392,0.45815,1.36652,2.04125
393,0.28322,0.73319,1.05806
394,0.2498999999999999,0.73319,1.04973
395,0.38318,1.333,1.81614
396,0.2499,0.73319,1.09138
397,0.39151,1.23319,1.73299
398,0.28322,0.73319,1.05806
399,0.7497000000000001,1.23319,2.0495300000000007
400,0.39151,0.73319,1.23299
401,0.4998,1.24152,1.9579
402,0.5997600000000001,1.24152,2.05786
403,0.8330000000000001,1.23319,2.17448
404,0.50813,1.23319,1.84961
405,0.39151,1.35819,1.85799
406,0.36651999999999996,1.35819,1.79135
407,0.51646,1.24152,1.93291
408,0.9829399999999999,1.23319,2.32442
409,0.2499,1.23319,1.59138
410,0.8746499999999999,1.24152,2.28277
411,0.44149,1.35819,1.90797
412,0.7580300000000001,1.24152,2.17448
413,0.40817000000000003,1.23319,1.7080000000000002
414,0.7330399999999999,1.26651,2.33275
415,0.34986,0.73319,1.19134
416,1.0829,1.3748500000000001,2.67433
417,0.4997999999999999,1.25818,2.03287
418,0.61642,1.23319,1.9579
419,0.34153,0.73319,1.18301
420,0.7330399999999999,1.26651,2.30776
421,0.44982,0.73319,1.24965
422,0.34986,0.73319,1.19134
423,0.55811,1.24152,2.01621
424,0.64974,1.36652,2.23284
425,0.7497,0.7415200000000001,1.7078000000000002
426,0.69972,0.7415200000000001,1.65782
427,0.39151,1.23319,1.73299
428,0.39151,1.23319,1.73299
429,0.2499,1.35819,1.71638
430,0.45815,1.36652,2.04125
431,0.60809,0.7415200000000001,1.52454
432,0.39983999999999986,1.36652,1.98294
433,0.20825,1.8911099999999998,2.20765
434,0.44982,1.23319,1.74965
435,0.4498199999999999,1.36652,1.99127
436,0.55811,1.36652,2.14121
437,0.35819,1.8994399999999998,2.47421
438,0.34986,0.73319,1.19134
439,0.34986,1.23319,1.6913399999999998
440,0.50813,1.23319,1.84961
441,0.34986,1.23319,1.6913399999999998
442,0.5497799999999999,1.36652,2.13288
443,0.2249099999999999,0.73319,0.99975
444,0.20825,1.8911099999999998,2.20765
445,0.40817000000000003,0.7415200000000001,1.32462
446,0.44982,0.73319,1.2913
447,0.43316,1.35819,1.89964
448,0.39151,1.23319,1.73299
449,0.5164599999999999,1.24152,1.97456
450,0.48314,1.24152,1.8746
451,0.37485,1.8994399999999998,2.44922
452,0.46648,1.23319,1.76631
453,0.3332,1.35819,1.79968
454,0.34986,1.35819,1.81634
455,0.50813,1.23319,1.84961
456,0.2499,1.35819,1.71638
457,0.44149,1.35819,1.90797
458,0.7580300000000001,1.2498500000000001,2.2244600000000005
459,0.34986000000000006,0.61657,1.03307
460,0.40817000000000003,1.23319,1.7080000000000002
461,0.29988000000000004,1.35819,1.76636
462,0.49147,1.23319,1.83295
463,0.6997200000000001,1.208,2.041
464,0.1666,1.8911099999999998,2.12435
465,0.34986000000000006,1.23319,1.64969
466,0.50813,1.23319,1.84961
467,0.39151,1.23319,1.73299
468,0.2499,1.35819,1.71638
469,0.34153,1.35819,1.80801
470,0.41650000000000004,1.36652,1.9163
471,0.39151,1.23319,1.73299
472,0.68306,1.26651,2.2911
473,0.31654000000000004,1.24152,1.73299
474,0.59143,1.19129,1.89101
475,0.5831,1.2498500000000001,2.0412
476,0.3831799999999999,1.35819,1.84966
477,0.84133,1.38318,2.5327200000000003
478,0.42482999999999993,1.2498500000000001,1.81629
479,0.57477,1.9161,2.72411
480,0.89964,1.25818,2.47436
481,0.61642,0.73319,1.4579
482,0.29154999999999986,1.23319,1.63303
483,0.34153,1.23319,1.68301
484,0.6330799999999999,1.36632,2.49087
485,0.2499,1.23319,1.59138
486,0.1999199999999999,0.75823,1.1164199999999995
487,0.69139,1.25818,2.29943
488,0.52479,1.2498500000000001,1.98289
489,0.27488999999999997,0.7499,1.19972
490,0.36651999999999996,1.23319,1.66635
491,0.55811,0.7415200000000001,1.47456
492,0.30821,0.73319,1.10804
493,0.41649999999999987,1.25818,1.90792
494,0.40817000000000003,0.73319,1.2080000000000002
495,0.34986,1.2163300000000001,1.77444
496,0.26656,1.94967,2.38283
497,0.44982,1.36652,2.03292
498,0.44982,1.36652,2.03292
499,0.55811,1.36652,2.14121
500,0.14994,1.23319,1.49142
501,0.20825000000000002,1.23319,1.50808
502,0.2499,1.23319,1.59138
503,0.34986,1.35819,1.81634
504,0.35819,1.36652,1.94129
505,0.2498999999999999,0.73319,1.04973
506,0.35819,0.7415200000000001,1.31629
507,0.14994,0.73319,0.99142
508,0.19158999999999998,0.73319,1.0330700000000002
509,0.44982,1.23319,1.7913
510,0.2499,1.23319,1.59138
511,0.29154999999999986,1.23319,1.63303
512,0.4165,1.24152,1.83295
513,1.10789,1.25818,2.79923
514,0.833,1.2498500000000001,2.2911
515,0.2499,0.73319,1.09138
516,0.59143,1.23319,1.89126
517,0.61642,1.3748500000000001,2.31614
518,0.44982,1.23319,1.7913
519,0.46648,1.23319,1.76631
520,0.61642,1.24152,2.07452
521,0.65807,1.36652,2.19952
