,T_DL Total [ms]
0,0.21658
1,0.21658
2,0.21658
3,0.21658
4,0.36652
5,0.22491
6,0.14161
7,0.22491
8,0.21658
9,0.22491
10,0.30821
11,0.1832599999999999
12,0.1832599999999999
13,0.21658
14,0.21658
15,0.21658
16,0.22491
17,0.22491
18,0.1832599999999999
19,0.1832599999999999
20,0.1832599999999999
21,0.21658
22,0.22491
23,0.14161
24,0.0916299999999999
25,0.0916299999999999
26,0.1832599999999999
27,0.1832599999999999
28,0.44149
29,0.1999199999999998
30,0.22491
31,0.22491
32,0.22491
33,0.44982
34,0.22491
35,0.22491
36,0.22491
37,0.31654
38,0.22491
39,0.44149
40,0.22491
41,0.44149
42,0.22491
43,0.21658
44,0.44982
45,0.14161
46,0.44982
47,0.44982
48,0.44982
49,0.1999199999999998
50,0.22491
51,0.22491
52,0.14161
53,0.44149
54,0.22491
55,0.1999199999999998
56,0.36652
57,0.22491
58,0.22491
59,0.22491
60,0.44982
61,0.21658
62,0.21658
63,0.44149
64,0.36652
65,0.36652
66,0.14161
67,0.22491
68,0.22491
69,0.1999199999999998
70,0.22491
71,0.21658
72,0.1999199999999998
73,0.14161
74,0.1999199999999998
75,0.36652
76,0.21658
77,0.21658
78,0.22491
79,0.45815
80,0.44149
81,0.21658
82,0.22491
83,0.21658
84,0.1999199999999998
85,0.22491
86,0.1999199999999998
87,0.44982
88,0.44149
89,0.44149
90,0.22491
91,0.44149
92,0.44149
93,0.14161
94,0.22491
95,0.22491
96,0.14161
97,0.21658
98,0.14161
99,0.22491
100,0.21658
101,0.21658
102,0.44982
103,0.36652
104,0.14161
105,0.36652
106,0.22491
107,0.22491
108,0.36652
109,0.36652
110,0.44982
111,0.44149
112,0.22491
