,T_DL Data Plane [ms],T_DL Control Delay [ms]
0,0.09996,0.11662
1,0.09996,0.11662
2,0.09996,0.11662
3,0.09996,0.11662
4,0.17493,0.19159
5,0.10829,0.11662
6,0.06664,0.07497
7,0.10829,0.11662
8,0.09996,0.11662
9,0.10829,0.11662
10,0.1416099999999999,0.1665999999999999
11,0.0833,0.09996
12,0.0833,0.09996
13,0.09996,0.11662
14,0.09996,0.11662
15,0.09996,0.11662
16,0.10829,0.11662
17,0.10829,0.11662
18,0.0833,0.09996
19,0.0833,0.09996
20,0.0833,0.09996
21,0.09996,0.11662
22,0.10829,0.11662
23,0.06664,0.07497
24,0.04165,0.04998
25,0.04165,0.04998
26,0.0833,0.09996
27,0.0833,0.09996
28,0.20825,0.23324
29,0.0916299999999999,0.1082899999999999
30,0.10829,0.11662
31,0.10829,0.11662
32,0.10829,0.11662
33,0.21658,0.23324
34,0.10829,0.11662
35,0.10829,0.11662
36,0.10829,0.11662
37,0.14994,0.1666
38,0.10829,0.11662
39,0.20825,0.23324
40,0.10829,0.11662
41,0.20825,0.23324
42,0.10829,0.11662
43,0.09996,0.11662
44,0.21658,0.23324
45,0.06664,0.07497
46,0.21658,0.23324
47,0.21658,0.23324
48,0.21658,0.23324
49,0.0916299999999999,0.1082899999999999
50,0.10829,0.11662
51,0.28322,0.30821
52,0.10829,0.11662
53,0.06664,0.07497
54,0.20825,0.23324
55,0.10829,0.11662
56,0.0916299999999999,0.1082899999999999
57,0.17493,0.19159
58,0.10829,0.11662
59,0.10829,0.11662
60,0.10829,0.11662
61,0.21658,0.23324
62,0.09996,0.11662
63,0.09996,0.11662
64,0.20825,0.23324
65,0.17493,0.19159
66,0.17493,0.19159
67,0.06664,0.07497
68,0.10829,0.11662
69,0.10829,0.11662
70,0.0916299999999999,0.1082899999999999
71,0.10829,0.11662
72,0.09996,0.11662
73,0.0916299999999999,0.1082899999999999
74,0.06664,0.07497
75,0.0916299999999999,0.1082899999999999
76,0.17493,0.19159
77,0.09996,0.11662
78,0.09996,0.11662
79,0.10829,0.11662
80,0.21658,0.24157
81,0.20825,0.23324
82,0.09996,0.11662
83,0.10829,0.11662
84,0.09996,0.11662
85,0.0916299999999999,0.1082899999999999
86,0.10829,0.11662
87,0.0916299999999999,0.1082899999999999
88,0.21658,0.23324
89,0.20825,0.23324
90,0.20825,0.23324
91,0.10829,0.11662
92,0.20825,0.23324
93,0.20825,0.23324
94,0.06664,0.07497
95,0.10829,0.11662
96,0.10829,0.11662
97,0.06664,0.07497
98,0.09996,0.11662
99,0.06664,0.07497
100,0.10829,0.11662
101,0.09996,0.11662
102,0.09996,0.11662
103,0.21658,0.23324
104,0.17493,0.19159
105,0.06664,0.07497
106,0.17493,0.19159
107,0.10829,0.11662
108,0.10829,0.11662
109,0.17493,0.19159
110,0.17493,0.19159
111,0.21658,0.23324
112,0.20825,0.23324
113,0.10829,0.11662
114,0.10829,0.11662
115,0.06664,0.07497
116,0.09996,0.11662
117,0.21658,0.23324
118,0.09996,0.11662
119,0.10829,0.11662
120,0.10829,0.11662
121,0.10829,0.11662
122,0.20825,0.23324
123,0.21658,0.23324
124,0.21658,0.23324
125,0.21658,0.23324
126,0.06664,0.07497
127,0.04165,0.04998
128,0.06664,0.07497
129,0.21658,0.23324
130,0.21658,0.23324
131,0.10829,0.11662
132,0.10829,0.11662
133,0.21658,0.23324
134,0.06664,0.07497
135,0.10829,0.11662
136,0.10829,0.11662
137,0.06664,0.07497
138,0.10829,0.11662
139,0.10829,0.11662
140,0.10829,0.11662
141,0.06664,0.07497
142,0.05831,0.06664
143,0.10829,0.11662
144,0.06664,0.07497
145,0.10829,0.11662
146,0.21658,0.23324
147,0.21658,0.23324
148,0.21658,0.23324
149,0.21658,0.23324
150,0.10829,0.11662
151,0.10829,0.11662
152,0.10829,0.11662
153,0.21658,0.23324
154,0.17493,0.19159
155,0.21658,0.23324
156,0.10829,0.11662
157,0.06664,0.07497
158,0.17493,0.19159
159,0.21658,0.23324
160,0.21658,0.23324
161,0.10829,0.11662
162,0.10829,0.11662
163,0.10829,0.11662
164,0.10829,0.11662
165,0.21658,0.23324
166,0.04165,0.04998
167,0.10829,0.11662
168,0.17493,0.19159
169,0.10829,0.11662
170,0.10829,0.11662
171,0.10829,0.11662
172,0.21658,0.23324
173,0.14994,0.1666
174,0.17493,0.19159
175,0.06664,0.07497
176,0.10829,0.11662
177,0.10829,0.11662
178,0.10829,0.11662
179,0.10829,0.11662
180,0.10829,0.11662
181,0.04165,0.04998
182,0.06664,0.07497
183,0.10829,0.11662
184,0.21658,0.23324
185,0.28322,0.30821
186,0.10829,0.11662
187,0.1666,0.1915899999999999
188,0.10829,0.11662
189,0.21658,0.23324
190,0.21658,0.23324
191,0.20825,0.23324
192,0.10829,0.11662
