,T_UL Data Plane [ms],T_UL Control Delay [ms],T_UL Total [ms],SR Delay [ms],UL Grant to Ul Data Delay  [ms]
0,0.29988,1.22486,1.52474,0.875,0.34986
1,0.29988,0.7248600000000001,1.02474,0.375,0.34986
2,0.1832599999999999,0.7248600000000001,0.90812,0.375,0.34986
3,0.14161,1.34986,1.49147,1.0,0.34986
4,0.24157,1.34986,1.59143,1.0,0.34986
5,0.14161,1.34986,1.49147,1.0,0.34986
6,0.14161,1.34986,1.49147,1.0,0.34986
7,0.22491,1.84986,2.07477,1.5,0.34986
8,0.14161,1.84986,1.99147,1.5,0.34986
9,0.04165,1.22486,1.26651,0.875,0.34986
10,0.19159,1.22486,1.41645,0.875,0.34986
11,0.23324,1.84986,2.0831,1.5,0.34986
12,0.14161,1.34986,1.49147,1.0,0.34986
13,0.29155,1.22486,1.51641,0.875,0.34986
14,0.29155,1.84986,2.14141,1.5,0.34986
15,0.14161,1.34986,1.49147,1.0,0.34986
16,0.19159,1.84986,2.04145,1.5,0.34986
17,0.24157,1.34986,1.59143,1.0,0.34986
18,0.14161,1.84986,1.99147,1.5,0.34986
19,0.14161,1.34986,1.49147,1.0,0.34986
20,0.17493,1.22486,1.39979,0.875,0.34986
21,0.19159,1.22486,1.41645,0.875,0.34986
22,0.04165,1.22486,1.26651,0.875,0.34986
23,0.14161,1.34986,1.49147,1.0,0.34986
24,0.14161,1.22486,1.36647,0.875,0.34986
25,0.23324,0.7248600000000001,0.9581,0.375,0.34986
26,0.19159,1.84986,2.04145,1.5,0.34986
27,0.22491,0.7248600000000001,0.94977,0.375,0.34986
28,0.14161,1.34986,1.49147,1.0,0.34986
29,0.1832599999999999,1.22486,1.40812,0.875,0.34986
30,0.14161,1.34986,1.49147,1.0,0.34986
31,0.14161,0.7248600000000001,0.8664700000000001,0.375,0.34986
32,0.19159,1.34986,1.54145,1.0,0.34986
33,0.24157,0.7248600000000001,0.96643,0.375,0.34986
34,0.14161,1.22486,1.36647,0.875,0.34986
35,0.14161,1.22486,1.36647,0.875,0.34986
36,0.1832599999999999,1.22486,1.40812,0.875,0.34986
37,0.14161,1.22486,1.36647,0.875,0.34986
