,Delay [ms],Num ReTx,delayType
0,0.84148,0,$T_{Phy\_Ctrl}$
1,1.32482,0,$T_{Phy\_Ctrl}$
2,1.34148,0,$T_{Phy\_Ctrl}$
3,1.27484,0,$T_{Phy\_Ctrl}$
4,2.53247,0,$T_{Phy\_Ctrl}$
5,1.34148,0,$T_{Phy\_Ctrl}$
6,1.34148,0,$T_{Phy\_Ctrl}$
7,1.4163,0,$T_{Phy\_Ctrl}$
8,1.29983,2,$T_{Phy\_Ctrl}$
9,1.5831,6,$T_{Phy\_Ctrl}$
10,1.9993999999999998,1,$T_{Phy\_Ctrl}$
11,1.69134,4,$T_{Phy\_Ctrl}$
12,1.41645,0,$T_{Phy\_Ctrl}$
13,1.9910199999999998,0,$T_{Phy\_Ctrl}$
14,1.4163,0,$T_{Phy\_Ctrl}$
15,2.7074,0,$T_{Phy\_Ctrl}$
16,1.4581,1,$T_{Phy\_Ctrl}$
17,1.42483,0,$T_{Phy\_Ctrl}$
18,1.6161699999999999,1,$T_{Phy\_Ctrl}$
19,1.1247,1,$T_{Phy\_Ctrl}$
20,1.42483,0,$T_{Phy\_Ctrl}$
21,1.46648,0,$T_{Phy\_Ctrl}$
22,1.5747200000000001,2,$T_{Phy\_Ctrl}$
23,0.84148,0,$T_{Phy\_Ctrl}$
24,1.54145,6,$T_{Phy\_Ctrl}$
25,1.29983,0,$T_{Phy\_Ctrl}$
26,1.4581,1,$T_{Phy\_Ctrl}$
27,1.4581,1,$T_{Phy\_Ctrl}$
28,2.32427,0,$T_{Phy\_Ctrl}$
29,1.34148,1,$T_{Phy\_Ctrl}$
30,1.41645,2,$T_{Phy\_Ctrl}$
31,2.2744400000000002,0,$T_{Phy\_Ctrl}$
32,2.6243,0,$T_{Phy\_Ctrl}$
33,1.0747200000000001,2,$T_{Phy\_Ctrl}$
34,1.92458,3,$T_{Phy\_Ctrl}$
35,0.84148,0,$T_{Phy\_Ctrl}$
36,0.7748400000000001,0,$T_{Phy\_Ctrl}$
37,1.29983,0,$T_{Phy\_Ctrl}$
38,2.11602,0,$T_{Phy\_Ctrl}$
39,0.84148,0,$T_{Phy\_Ctrl}$
40,1.4581,0,$T_{Phy\_Ctrl}$
41,1.41645,2,$T_{Phy\_Ctrl}$
42,1.96648,1,$T_{Phy\_Ctrl}$
43,0.9581000000000001,2,$T_{Phy\_Ctrl}$
44,1.41645,2,$T_{Phy\_Ctrl}$
45,1.46648,2,$T_{Phy\_Ctrl}$
46,1.46648,0,$T_{Phy\_Ctrl}$
47,0.84148,0,$T_{Phy\_Ctrl}$
48,1.46648,0,$T_{Phy\_Ctrl}$
49,1.34148,1,$T_{Phy\_Ctrl}$
50,1.4581,0,$T_{Phy\_Ctrl}$
51,1.34148,0,$T_{Phy\_Ctrl}$
52,1.4581,0,$T_{Phy\_Ctrl}$
53,1.46648,0,$T_{Phy\_Ctrl}$
54,1.29983,0,$T_{Phy\_Ctrl}$
55,2.04145,0,$T_{Phy\_Ctrl}$
56,1.63308,3,$T_{Phy\_Ctrl}$
57,1.5164600000000001,1,$T_{Phy\_Ctrl}$
58,2.83235,1,$T_{Phy\_Ctrl}$
59,1.4581,3,$T_{Phy\_Ctrl}$
60,1.5747200000000001,0,$T_{Phy\_Ctrl}$
61,0.84148,0,$T_{Phy\_Ctrl}$
62,1.4581,0,$T_{Phy\_Ctrl}$
63,1.46648,0,$T_{Phy\_Ctrl}$
64,2.6741300000000003,0,$T_{Phy\_Ctrl}$
65,2.00768,0,$T_{Phy\_Ctrl}$
66,1.4664300000000001,0,$T_{Phy\_Ctrl}$
67,0.68321,0,$T_{Phy\_Ctrl}$
68,0.84148,0,$T_{Phy\_Ctrl}$
69,1.41645,0,$T_{Phy\_Ctrl}$
70,0.84148,0,$T_{Phy\_Ctrl}$
71,1.27484,0,$T_{Phy\_Ctrl}$
72,1.29983,0,$T_{Phy\_Ctrl}$
73,1.34148,0,$T_{Phy\_Ctrl}$
74,0.9581000000000001,0,$T_{Phy\_Ctrl}$
75,1.03307,0,$T_{Phy\_Ctrl}$
76,1.34148,0,$T_{Phy\_Ctrl}$
77,2.0743699999999996,0,$T_{Phy\_Ctrl}$
78,1.34148,0,$T_{Phy\_Ctrl}$
79,0.9581000000000001,0,$T_{Phy\_Ctrl}$
80,1.4581,0,$T_{Phy\_Ctrl}$
81,1.4245800000000002,0,$T_{Phy\_Ctrl}$
82,1.46648,0,$T_{Phy\_Ctrl}$
83,0.84148,0,$T_{Phy\_Ctrl}$
84,1.34148,0,$T_{Phy\_Ctrl}$
85,1.27484,0,$T_{Phy\_Ctrl}$
86,1.4581,0,$T_{Phy\_Ctrl}$
87,1.34148,0,$T_{Phy\_Ctrl}$
88,0.7748400000000001,0,$T_{Phy\_Ctrl}$
89,1.46648,0,$T_{Phy\_Ctrl}$
90,1.30796,0,$T_{Phy\_Ctrl}$
91,1.4581,0,$T_{Phy\_Ctrl}$
92,1.46648,0,$T_{Phy\_Ctrl}$
93,0.84148,0,$T_{Phy\_Ctrl}$
94,1.62455,0,$T_{Phy\_Ctrl}$
95,0.84148,0,$T_{Phy\_Ctrl}$
96,2.0831,0,$T_{Phy\_Ctrl}$
97,1.96648,0,$T_{Phy\_Ctrl}$
98,1.96648,0,$T_{Phy\_Ctrl}$
99,2.15807,0,$T_{Phy\_Ctrl}$
100,1.92483,0,$T_{Phy\_Ctrl}$
101,1.5831,0,$T_{Phy\_Ctrl}$
102,1.5579100000000001,0,$T_{Phy\_Ctrl}$
103,2.15807,0,$T_{Phy\_Ctrl}$
104,1.34148,0,$T_{Phy\_Ctrl}$
105,1.92483,0,$T_{Phy\_Ctrl}$
106,0.7748400000000001,0,$T_{Phy\_Ctrl}$
107,1.34148,0,$T_{Phy\_Ctrl}$
108,2.0831,0,$T_{Phy\_Ctrl}$
109,1.5831,0,$T_{Phy\_Ctrl}$
110,1.46648,0,$T_{Phy\_Ctrl}$
111,1.96648,0,$T_{Phy\_Ctrl}$
112,1.34148,0,$T_{Phy\_Ctrl}$
113,1.9993999999999998,0,$T_{Phy\_Ctrl}$
114,1.96648,0,$T_{Phy\_Ctrl}$
115,1.96648,0,$T_{Phy\_Ctrl}$
116,2.04145,0,$T_{Phy\_Ctrl}$
117,2.04145,0,$T_{Phy\_Ctrl}$
118,1.96648,0,$T_{Phy\_Ctrl}$
119,0.9581000000000001,0,$T_{Phy\_Ctrl}$
120,1.34148,0,$T_{Phy\_Ctrl}$
121,1.5831,0,$T_{Phy\_Ctrl}$
122,1.46648,0,$T_{Phy\_Ctrl}$
123,1.96648,0,$T_{Phy\_Ctrl}$
124,1.5831,0,$T_{Phy\_Ctrl}$
125,1.34148,0,$T_{Phy\_Ctrl}$
126,1.99955,0,$T_{Phy\_Ctrl}$
127,0.84148,0,$T_{Phy\_Ctrl}$
128,1.34148,0,$T_{Phy\_Ctrl}$
129,1.46648,0,$T_{Phy\_Ctrl}$
130,1.34148,0,$T_{Phy\_Ctrl}$
131,1.46648,0,$T_{Phy\_Ctrl}$
132,1.41645,0,$T_{Phy\_Ctrl}$
133,1.5747200000000001,0,$T_{Phy\_Ctrl}$
134,1.27484,0,$T_{Phy\_Ctrl}$
135,1.5831,0,$T_{Phy\_Ctrl}$
136,0.9581000000000001,0,$T_{Phy\_Ctrl}$
137,1.34148,0,$T_{Phy\_Ctrl}$
138,1.34148,0,$T_{Phy\_Ctrl}$
139,1.4581,0,$T_{Phy\_Ctrl}$
140,0.84148,0,$T_{Phy\_Ctrl}$
141,1.34148,0,$T_{Phy\_Ctrl}$
142,1.46648,0,$T_{Phy\_Ctrl}$
143,1.34148,0,$T_{Phy\_Ctrl}$
144,1.34148,0,$T_{Phy\_Ctrl}$
145,1.4581,0,$T_{Phy\_Ctrl}$
146,1.5831,0,$T_{Phy\_Ctrl}$
147,0.7748400000000001,0,$T_{Phy\_Ctrl}$
148,0.79983,0,$T_{Phy\_Ctrl}$
149,1.43296,0,$T_{Phy\_Ctrl}$
150,0.84148,0,$T_{Phy\_Ctrl}$
151,1.34148,0,$T_{Phy\_Ctrl}$
152,0.7748400000000001,0,$T_{Phy\_Ctrl}$
153,1.29983,0,$T_{Phy\_Ctrl}$
154,2.01606,0,$T_{Phy\_Ctrl}$
155,1.47456,0,$T_{Phy\_Ctrl}$
156,0.9581000000000001,0,$T_{Phy\_Ctrl}$
157,1.4245800000000002,0,$T_{Phy\_Ctrl}$
158,0.92483,0,$T_{Phy\_Ctrl}$
159,2.5491300000000003,0,$T_{Phy\_Ctrl}$
160,1.97441,0,$T_{Phy\_Ctrl}$
161,1.53307,0,$T_{Phy\_Ctrl}$
162,1.7330400000000001,0,$T_{Phy\_Ctrl}$
163,1.34148,0,$T_{Phy\_Ctrl}$
164,1.34148,0,$T_{Phy\_Ctrl}$
165,0.84148,0,$T_{Phy\_Ctrl}$
166,1.99955,0,$T_{Phy\_Ctrl}$
167,1.92458,0,$T_{Phy\_Ctrl}$
168,1.5747200000000001,0,$T_{Phy\_Ctrl}$
169,1.46648,0,$T_{Phy\_Ctrl}$
170,1.29983,0,$T_{Phy\_Ctrl}$
