,CQI_Range,Phy Layer Delay,WB CQI_bin range
0,"(6, 9]",3.39051,"(6, 9]"
1,"(6, 9]",4.13208,"(6, 9]"
2,"(6, 9]",7.830200000000001,"(6, 9]"
3,"(9, 12]",1.64116,"(9, 12]"
4,"(9, 12]",3.49875,"(9, 12]"
5,"(9, 12]",1.3328,"(9, 12]"
6,"(9, 12]",2.2161300000000006,"(9, 12]"
7,"(9, 12]",6.5975600000000005,"(9, 12]"
8,"(9, 12]",6.022940000000001,"(9, 12]"
9,"(9, 12]",1.89091,"(9, 12]"
10,"(9, 12]",1.99955,"(9, 12]"
11,"(9, 12]",5.18994,"(9, 12]"
12,"(9, 12]",2.19932,"(9, 12]"
13,"(9, 12]",9.92103,"(9, 12]"
14,"(9, 12]",2.32422,"(9, 12]"
15,"(9, 12]",3.40732,"(9, 12]"
16,"(9, 12]",2.24925,"(9, 12]"
17,"(9, 12]",2.67408,"(9, 12]"
18,"(9, 12]",1.87425,"(9, 12]"
19,"(9, 12]",6.47261,"(9, 12]"
20,"(9, 12]",2.64126,"(9, 12]"
21,"(9, 12]",10.07097,"(9, 12]"
22,"(9, 12]",1.84093,"(9, 12]"
23,"(9, 12]",1.99087,"(9, 12]"
24,"(9, 12]",8.19687,"(9, 12]"
25,"(9, 12]",2.19932,"(9, 12]"
26,"(9, 12]",2.3744,"(9, 12]"
27,"(9, 12]",1.2495,"(9, 12]"
28,"(9, 12]",3.03247,"(9, 12]"
29,"(9, 12]",6.63916,"(9, 12]"
30,"(9, 12]",3.19907,"(9, 12]"
31,"(9, 12]",0.93316,"(9, 12]"
32,"(9, 12]",2.9988,"(9, 12]"
33,"(9, 12]",2.59098,"(9, 12]"
34,"(9, 12]",1.94942,"(9, 12]"
35,"(9, 12]",3.92378,"(9, 12]"
36,"(9, 12]",2.75723,"(9, 12]"
37,"(9, 12]",3.78217,"(9, 12]"
38,"(9, 12]",3.0655900000000003,"(9, 12]"
39,"(9, 12]",1.26631,"(9, 12]"
40,"(9, 12]",1.6913399999999998,"(9, 12]"
41,"(9, 12]",3.61522,"(9, 12]"
42,"(12, 15]",3.13223,"(12, 15]"
43,"(12, 15]",2.77424,"(12, 15]"
44,"(12, 15]",1.91705,"(12, 15]"
45,"(12, 15]",0.6915899999999999,"(12, 15]"
46,"(12, 15]",2.80721,"(12, 15]"
47,"(12, 15]",2.3408800000000003,"(12, 15]"
48,"(12, 15]",2.1909400000000003,"(12, 15]"
49,"(12, 15]",2.47436,"(12, 15]"
50,"(12, 15]",0.88298,"(12, 15]"
51,"(12, 15]",4.3819300000000005,"(12, 15]"
52,"(12, 15]",3.0825,"(12, 15]"
53,"(12, 15]",4.96468,"(12, 15]"
54,"(12, 15]",5.40617,"(12, 15]"
55,"(12, 15]",2.44069,"(12, 15]"
56,"(12, 15]",5.05646,"(12, 15]"
57,"(12, 15]",1.6913399999999998,"(12, 15]"
