,CQI_Range,Phy Layer Delay,WB CQI_bin range
0,"(6, 9]",8.946620000000001,"(6, 9]"
1,"(6, 9]",2.44902,"(6, 9]"
2,"(6, 9]",5.064640000000001,"(6, 9]"
3,"(9, 12]",2.40737,"(9, 12]"
4,"(9, 12]",3.07412,"(9, 12]"
5,"(9, 12]",2.74925,"(9, 12]"
6,"(9, 12]",4.00713,"(9, 12]"
7,"(9, 12]",3.95675,"(9, 12]"
8,"(9, 12]",3.44049,"(9, 12]"
9,"(9, 12]",4.36492,"(9, 12]"
10,"(9, 12]",3.5572600000000003,"(9, 12]"
11,"(9, 12]",3.4153,"(9, 12]"
12,"(9, 12]",4.53152,"(9, 12]"
13,"(9, 12]",3.60689,"(9, 12]"
14,"(9, 12]",5.12295,"(9, 12]"
15,"(9, 12]",6.58185,"(9, 12]"
16,"(9, 12]",9.02139,"(9, 12]"
17,"(9, 12]",5.75603,"(9, 12]"
18,"(9, 12]",2.72426,"(9, 12]"
19,"(9, 12]",6.84761,"(9, 12]"
20,"(9, 12]",1.91625,"(9, 12]"
21,"(9, 12]",2.21618,"(9, 12]"
22,"(9, 12]",2.99062,"(9, 12]"
23,"(9, 12]",1.96608,"(9, 12]"
24,"(9, 12]",5.231590000000001,"(9, 12]"
25,"(9, 12]",11.75363,"(9, 12]"
26,"(9, 12]",3.26571,"(9, 12]"
27,"(9, 12]",4.01546,"(9, 12]"
28,"(9, 12]",2.37425,"(9, 12]"
29,"(9, 12]",6.664199999999999,"(9, 12]"
30,"(9, 12]",5.78102,"(9, 12]"
31,"(9, 12]",3.34866,"(9, 12]"
32,"(9, 12]",2.03267,"(9, 12]"
33,"(9, 12]",5.06479,"(9, 12]"
34,"(9, 12]",5.36467,"(9, 12]"
35,"(9, 12]",4.34861,"(9, 12]"
36,"(9, 12]",2.30741,"(9, 12]"
37,"(9, 12]",9.47954,"(9, 12]"
38,"(9, 12]",6.25583,"(9, 12]"
39,"(9, 12]",2.90717,"(9, 12]"
40,"(9, 12]",4.75643,"(9, 12]"
41,"(9, 12]",3.09043,"(9, 12]"
42,"(9, 12]",4.73144,"(9, 12]"
43,"(9, 12]",3.46528,"(9, 12]"
44,"(9, 12]",9.4962,"(9, 12]"
45,"(9, 12]",5.19792,"(9, 12]"
46,"(9, 12]",5.90632,"(9, 12]"
47,"(9, 12]",6.28117,"(9, 12]"
48,"(9, 12]",4.414899999999999,"(9, 12]"
49,"(9, 12]",5.87265,"(9, 12]"
50,"(9, 12]",2.69892,"(9, 12]"
51,"(9, 12]",5.7561800000000005,"(9, 12]"
52,"(9, 12]",3.07392,"(9, 12]"
53,"(9, 12]",5.13148,"(9, 12]"
54,"(9, 12]",10.621200000000002,"(9, 12]"
55,"(9, 12]",6.53925,"(9, 12]"
56,"(9, 12]",5.39804,"(9, 12]"
57,"(9, 12]",4.48174,"(9, 12]"
58,"(9, 12]",5.03152,"(9, 12]"
59,"(9, 12]",4.49007,"(9, 12]"
60,"(9, 12]",4.86472,"(9, 12]"
61,"(9, 12]",2.64061,"(9, 12]"
62,"(9, 12]",3.1903900000000003,"(9, 12]"
63,"(9, 12]",7.881080000000001,"(9, 12]"
64,"(9, 12]",7.81444,"(9, 12]"
65,"(9, 12]",5.43206,"(9, 12]"
66,"(9, 12]",5.706250000000001,"(9, 12]"
67,"(9, 12]",3.29903,"(9, 12]"
68,"(12, 15]",9.87105,"(12, 15]"
69,"(12, 15]",2.85734,"(12, 15]"
70,"(12, 15]",3.49042,"(12, 15]"
71,"(12, 15]",2.6905900000000003,"(12, 15]"
72,"(12, 15]",2.80736,"(12, 15]"
73,"(12, 15]",5.55611,"(12, 15]"
74,"(12, 15]",1.14969,"(12, 15]"
75,"(12, 15]",2.04958,"(12, 15]"
76,"(12, 15]",5.41485,"(12, 15]"
77,"(12, 15]",5.79783,"(12, 15]"
78,"(12, 15]",3.91545,"(12, 15]"
79,"(12, 15]",3.28202,"(12, 15]"
80,"(12, 15]",6.53092,"(12, 15]"
81,"(12, 15]",3.4986,"(12, 15]"
82,"(12, 15]",2.58245,"(12, 15]"
83,"(12, 15]",5.498000000000001,"(12, 15]"
84,"(12, 15]",4.231840000000001,"(12, 15]"
85,"(12, 15]",3.1990700000000003,"(12, 15]"
86,"(12, 15]",4.081849999999999,"(12, 15]"
87,"(12, 15]",5.46463,"(12, 15]"
88,"(12, 15]",4.8732,"(12, 15]"
89,"(12, 15]",7.01386,"(12, 15]"
90,"(12, 15]",2.09098,"(12, 15]"
91,"(12, 15]",3.47361,"(12, 15]"
92,"(12, 15]",2.98254,"(12, 15]"
93,"(12, 15]",10.06264,"(12, 15]"
94,"(12, 15]",4.356590000000001,"(12, 15]"
95,"(12, 15]",4.21538,"(12, 15]"
96,"(12, 15]",4.18999,"(12, 15]"
97,"(12, 15]",5.30641,"(12, 15]"
98,"(12, 15]",3.90677,"(12, 15]"
99,"(12, 15]",5.03985,"(12, 15]"
100,"(12, 15]",5.69807,"(12, 15]"
101,"(12, 15]",3.92358,"(12, 15]"
102,"(12, 15]",4.506680000000001,"(12, 15]"
103,"(12, 15]",5.63956,"(12, 15]"
104,"(12, 15]",6.523290000000001,"(12, 15]"
105,"(12, 15]",4.93136,"(12, 15]"
106,"(12, 15]",3.79848,"(12, 15]"
107,"(12, 15]",2.88233,"(12, 15]"
108,"(12, 15]",2.35739,"(12, 15]"
109,"(12, 15]",2.874,"(12, 15]"
110,"(12, 15]",3.42398,"(12, 15]"
