,CQI_Range,T_UL Total [ms],WB CQI_bin range
0,"(6, 9]",2.95735,"(6, 9]"
1,"(6, 9]",2.87425,"(6, 9]"
2,"(6, 9]",7.463680000000001,"(6, 9]"
3,"(9, 12]",0.74152,"(9, 12]"
4,"(9, 12]",2.69907,"(9, 12]"
5,"(9, 12]",0.79135,"(9, 12]"
6,"(9, 12]",1.7663100000000005,"(9, 12]"
7,"(9, 12]",5.498,"(9, 12]"
8,"(9, 12]",5.356540000000001,"(9, 12]"
9,"(9, 12]",1.52439,"(9, 12]"
10,"(9, 12]",1.55806,"(9, 12]"
11,"(9, 12]",3.28237,"(9, 12]"
12,"(9, 12]",1.98274,"(9, 12]"
13,"(9, 12]",9.26296,"(9, 12]"
14,"(9, 12]",1.8744,"(9, 12]"
15,"(9, 12]",2.14949,"(9, 12]"
16,"(9, 12]",1.59118,"(9, 12]"
17,"(9, 12]",1.50788,"(9, 12]"
18,"(9, 12]",0.7497,"(9, 12]"
19,"(9, 12]",3.96528,"(9, 12]"
20,"(9, 12]",2.42468,"(9, 12]"
21,"(9, 12]",7.721909999999999,"(9, 12]"
22,"(9, 12]",0.3332,"(9, 12]"
23,"(9, 12]",1.09956,"(9, 12]"
24,"(9, 12]",6.93071,"(9, 12]"
25,"(9, 12]",1.98274,"(9, 12]"
26,"(9, 12]",1.7080000000000002,"(9, 12]"
27,"(9, 12]",0.8163400000000001,"(9, 12]"
28,"(9, 12]",1.99955,"(9, 12]"
29,"(9, 12]",4.72326,"(9, 12]"
30,"(9, 12]",1.36647,"(9, 12]"
31,"(9, 12]",0.43336,"(9, 12]"
32,"(9, 12]",1.4161,"(9, 12]"
33,"(9, 12]",2.36607,"(9, 12]"
34,"(9, 12]",1.4996,"(9, 12]"
35,"(9, 12]",2.39106,"(9, 12]"
36,"(9, 12]",1.85759,"(9, 12]"
37,"(9, 12]",2.24112,"(9, 12]"
38,"(9, 12]",2.1742800000000004,"(9, 12]"
39,"(9, 12]",1.04973,"(9, 12]"
40,"(9, 12]",1.46643,"(9, 12]"
41,"(9, 12]",3.39031,"(9, 12]"
42,"(12, 15]",1.64116,"(12, 15]"
43,"(12, 15]",2.09951,"(12, 15]"
44,"(12, 15]",1.69214,"(12, 15]"
45,"(12, 15]",0.47501,"(12, 15]"
46,"(12, 15]",2.36572,"(12, 15]"
47,"(12, 15]",1.74945,"(12, 15]"
48,"(12, 15]",1.0414,"(12, 15]"
49,"(12, 15]",1.79963,"(12, 15]"
50,"(12, 15]",0.23324,"(12, 15]"
51,"(12, 15]",3.79883,"(12, 15]"
52,"(12, 15]",2.3328,"(12, 15]"
53,"(12, 15]",4.14834,"(12, 15]"
54,"(12, 15]",3.28202,"(12, 15]"
55,"(12, 15]",1.5827,"(12, 15]"
56,"(12, 15]",4.83155,"(12, 15]"
57,"(12, 15]",1.46643,"(12, 15]"
