,WB CQI,Mobility
0,14.0,Stationary
1,14.0,Stationary
2,14.0,Stationary
3,14.0,Stationary
4,14.0,Stationary
5,14.0,Stationary
6,14.0,Stationary
7,14.0,Stationary
8,14.0,Stationary
9,14.0,Stationary
10,14.0,Stationary
11,14.0,Stationary
12,14.0,Stationary
13,14.0,Stationary
14,14.0,Stationary
15,14.0,Stationary
16,14.0,Stationary
17,14.0,Stationary
18,14.0,Stationary
19,14.0,Stationary
20,14.0,Stationary
21,14.0,Stationary
22,14.0,Stationary
23,14.0,Stationary
24,14.0,Stationary
25,14.0,Stationary
26,14.0,Stationary
27,14.0,Stationary
28,14.0,Stationary
29,14.0,Stationary
30,14.0,Stationary
31,14.0,Stationary
32,14.0,Stationary
33,14.0,Stationary
34,14.0,Stationary
35,14.0,Stationary
36,14.0,Stationary
37,14.0,Stationary
38,14.0,Stationary
39,14.0,Stationary
40,14.0,Stationary
41,14.0,Stationary
42,14.0,Stationary
43,14.0,Stationary
44,14.0,Stationary
45,14.0,Stationary
46,14.0,Stationary
47,14.0,Stationary
48,14.0,Stationary
49,14.0,Stationary
50,14.0,Stationary
51,14.0,Stationary
52,14.0,Stationary
53,14.0,Stationary
54,14.0,Stationary
55,14.0,Stationary
56,14.0,Stationary
57,14.0,Stationary
58,14.0,Stationary
59,14.0,Stationary
60,14.0,Stationary
61,14.0,Stationary
62,14.0,Stationary
63,14.0,Stationary
64,14.0,Stationary
65,14.0,Stationary
66,14.0,Stationary
67,14.0,Stationary
68,14.0,Stationary
69,14.0,Stationary
70,14.0,Stationary
71,14.0,Stationary
72,14.0,Stationary
73,14.0,Stationary
74,14.0,Stationary
75,14.0,Stationary
76,14.0,Stationary
77,14.0,Stationary
78,14.0,Stationary
79,14.0,Stationary
80,14.0,Stationary
81,14.0,Stationary
82,14.0,Stationary
83,14.0,Stationary
84,14.0,Stationary
85,14.0,Stationary
86,14.0,Stationary
87,14.0,Stationary
88,14.0,Stationary
89,14.0,Stationary
90,14.0,Stationary
91,14.0,Stationary
92,14.0,Stationary
93,14.0,Stationary
94,14.0,Stationary
95,14.0,Stationary
96,14.0,Stationary
97,14.0,Stationary
98,14.0,Stationary
99,14.0,Stationary
100,14.0,Stationary
101,14.0,Stationary
102,14.0,Stationary
