,Phy Layer Delay [ms],Mobility
0,1.66635,Stationary
1,1.24132,Stationary
2,1.04973,Stationary
3,1.7829700000000002,Stationary
4,1.09138,Stationary
5,1.59138,Stationary
6,1.93296,Stationary
7,1.63308,Stationary
8,1.00808,Stationary
9,1.70805,Stationary
10,1.72471,Stationary
11,1.74132,Stationary
12,1.27464,Stationary
13,1.84128,Stationary
14,1.04973,Stationary
15,1.6913399999999998,Stationary
16,2.7074,Stationary
17,0.9165,Stationary
18,1.80801,Stationary
19,1.81634,Stationary
20,1.71638,Stationary
21,1.94129,Stationary
22,2.44129,Stationary
23,2.43296,Stationary
24,1.54973,Stationary
25,1.64136,Stationary
26,2.22471,Stationary
27,1.71638,Stationary
28,1.83295,Stationary
29,2.59123,Stationary
30,1.93296,Stationary
31,2.63288,Stationary
32,1.95795,Stationary
33,2.21638,Stationary
34,1.71638,Stationary
35,1.49142,Stationary
36,1.61637,Stationary
37,1.63303,Stationary
38,1.71638,Stationary
39,1.59138,Stationary
40,1.32462,Stationary
41,2.26636,Stationary
42,1.5412,Stationary
43,2.51606,Stationary
44,2.75783,Stationary
45,2.15782,Stationary
46,2.27424,Stationary
47,1.59138,Stationary
48,1.4581,Stationary
49,2.39944,Stationary
50,1.68301,Stationary
51,2.0829000000000004,Stationary
52,1.89106,Stationary
53,2.4741600000000004,Stationary
54,1.78297,Stationary
55,2.18281,Stationary
56,1.7080000000000002,Stationary
57,2.04953,Stationary
58,1.7078,Stationary
59,2.22446,Stationary
60,2.02454,Stationary
61,1.82462,Stationary
62,1.1663499999999998,Stationary
63,1.81634,Stationary
64,1.7080000000000002,Stationary
65,2.03292,Stationary
66,1.74132,Stationary
67,1.63303,Stationary
68,1.93291,Stationary
69,1.83295,Stationary
70,1.86632,Stationary
71,1.42458,Stationary
72,1.70805,Stationary
73,1.13303,Stationary
74,2.03287,Stationary
75,1.89126,Stationary
76,1.23299,Stationary
77,1.59956,Stationary
78,1.7080000000000002,Stationary
79,2.49107,Stationary
80,1.80781,Stationary
81,2.24945,Stationary
82,1.6247,Stationary
83,1.71638,Stationary
84,1.30796,Stationary
85,1.76636,Stationary
86,1.18301,Stationary
87,1.59138,Stationary
88,1.73299,Stationary
89,1.84961,Stationary
90,1.4581,Stationary
91,1.19134,Stationary
92,1.7080000000000002,Stationary
93,1.58305,Stationary
94,1.86627,Stationary
95,1.81634,Stationary
96,1.76636,Stationary
97,1.71638,Stationary
98,1.66635,Stationary
99,1.67468,Stationary
100,1.27464,Stationary
101,1.93296,Stationary
102,1.81629,Stationary
103,1.76636,Stationary
104,1.54973,Stationary
105,1.81634,Stationary
106,1.79963,Stationary
107,1.98289,Stationary
108,2.0995100000000004,Stationary
109,1.58305,Stationary
110,1.58305,Stationary
111,1.18301,Stationary
112,1.80796,Stationary
113,2.07452,Stationary
114,1.51621,Stationary
115,1.72466,Stationary
116,1.89126,Stationary
117,2.6743300000000003,Stationary
118,2.31589,Stationary
119,1.2746400000000002,Stationary
120,1.69134,Stationary
121,2.38273,Stationary
122,2.33275,Stationary
123,1.63308,Stationary
124,1.708,Stationary
125,1.72466,Stationary
126,1.08305,Stationary
127,1.96628,Stationary
128,1.58305,Stationary
129,1.10804,Stationary
130,1.7829700000000002,Stationary
131,1.73299,Stationary
132,1.66635,Stationary
133,1.2829700000000002,Stationary
134,1.71638,Stationary
135,1.72466,Stationary
