,MCS UL
0,14.0
1,14.666666666666666
2,23.0
3,14.5
4,16.75
5,9.5
6,19.0
7,10.0
8,20.125
9,20.0
10,14.5
11,10.0
12,10.5
13,14.0
14,14.666666666666666
15,19.166666666666668
16,16.25
17,22.0
18,22.0
19,11.0
20,22.0
21,23.666666666666668
22,13.166666666666666
23,10.0
24,21.0
25,14.333333333333334
26,10.0
27,10.5
28,17.5
29,10.0
30,10.5
31,10.5
32,22.5
33,21.0
34,10.0
35,10.0
36,15.666666666666666
37,15.666666666666666
38,11.0
39,11.0
40,10.5
41,10.5
42,14.333333333333334
43,16.0
44,10.5
45,10.5
46,15.333333333333334
47,11.0
48,11.0
49,21.0
50,10.5
51,22.0
52,9.333333333333334
53,11.0
54,11.5
55,5.75
56,11.0
57,15.75
58,11.5
59,17.5
60,19.2
61,16.666666666666668
62,24.0
63,24.0
64,20.0
65,18.0
66,18.0
67,26.5
68,27.0
69,12.5
70,22.0
71,25.0
72,26.0
73,20.0
74,15.333333333333334
75,11.5
76,9.0
77,22.75
78,17.666666666666668
79,25.5
80,16.666666666666668
81,12.0
82,12.0
83,21.857142857142858
84,16.0
85,14.666666666666666
86,15.666666666666666
87,18.25
88,18.25
89,14.666666666666666
90,16.0
91,11.5
92,16.666666666666668
93,11.5
94,16.0
95,17.0
96,11.0
97,12.0
98,16.0
99,19.285714285714285
100,18.142857142857142
101,18.75
102,24.0
103,16.666666666666668
104,18.5
105,11.5
106,18.25
107,27.0
108,26.0
109,15.25
110,18.84210526315789
111,11.0
112,22.33333333333333
113,11.5
114,24.0
115,12.0
116,24.0
117,23.0
118,24.0
119,23.0
120,24.33333333333333
121,24.33333333333333
122,24.0
123,24.0
124,18.25
125,25.0
126,17.0
127,25.0
128,17.333333333333332
129,13.0
130,12.0
131,18.0
132,26.5
133,10.666666666666666
134,13.5
135,27.0
136,12.0
137,26.33333333333333
138,7.333333333333333
139,23.0
140,15.666666666666666
141,24.8
142,22.0
143,23.0
144,11.0
145,23.0
146,20.0
147,24.33333333333333
148,22.0
149,14.666666666666666
150,24.8
151,22.0
152,23.0
153,23.0
154,15.333333333333334
155,18.25
156,21.33333333333333
157,22.0
158,13.0
159,16.666666666666668
160,25.5
161,26.0
162,19.5
163,26.0
164,25.0
165,27.0
166,27.0
167,26.0
168,16.666666666666668
169,21.2
170,25.25
171,12.5
172,25.5
173,25.666666666666668
174,26.0
175,17.333333333333332
176,26.33333333333333
177,26.33333333333333
178,12.5
179,20.4
180,27.0
181,16.6
182,21.571428571428573
183,25.666666666666668
184,18.25
185,23.33333333333333
186,12.0
187,10.333333333333334
188,16.75
189,17.285714285714285
190,18.0
191,18.5
192,14.666666666666666
193,12.0
194,11.0
195,15.333333333333334
196,19.0
197,24.0
198,15.333333333333334
199,16.666666666666668
200,16.666666666666668
201,16.0
202,18.285714285714285
203,14.666666666666666
204,12.5
205,9.0
