,MCS UL
0,12.0
1,12.0
2,17.0
3,13.5
4,20.0
5,10.333333333333334
6,9.0
7,7.5
8,6.0
9,7.0
10,15.0
11,3.625
12,3.0
13,8.6
14,8.5
15,11.25
16,9.22222222222222
17,14.0
18,13.333333333333334
19,12.666666666666666
20,6.0
21,3.6
22,6.5
23,19.666666666666668
24,14.333333333333334
25,12.0
26,18.5
27,8.666666666666666
28,3.75
29,11.0
30,13.0
31,9.333333333333334
32,15.0
33,13.22222222222222
34,9.5
35,11.333333333333334
36,11.75
37,15.0
38,11.333333333333334
39,12.666666666666666
40,5.0
41,9.5
42,14.25
43,12.0
44,11.5
45,14.8
46,11.4
47,14.6
48,12.666666666666666
49,12.666666666666666
50,20.0
51,13.0
52,8.5
53,12.0
54,18.0
55,9.5
56,9.0
57,10.285714285714286
58,9.333333333333334
59,9.5
60,10.0
61,12.0
62,7.0
63,10.0
64,7.0
65,17.0
66,12.0
67,12.0
68,17.5
69,6.25
70,18.0
71,10.25
72,11.4
73,14.25
74,13.25
75,18.5
76,12.5
77,12.2
78,15.583333333333334
79,3.333333333333333
80,13.333333333333334
81,10.0
82,13.75
83,10.0
84,17.0
85,8.5
86,11.0
87,8.5
88,5.333333333333333
89,12.5
90,8.0
91,8.8
92,8.666666666666666
93,15.0
94,12.0
95,9.333333333333334
96,7.666666666666667
97,10.0
98,10.0
99,4.0
100,6.0
101,17.5
102,8.5
103,8.8
104,19.5
105,9.875
106,18.0
107,12.8
108,11.333333333333334
109,9.333333333333334
110,4.333333333333333
111,10.666666666666666
112,12.0
113,13.0
114,11.333333333333334
115,11.666666666666666
116,11.333333333333334
117,9.333333333333334
118,8.0
119,6.666666666666667
120,7.4
121,11.333333333333334
122,11.666666666666666
123,8.6
124,9.75
125,6.666666666666667
126,13.125
127,4.333333333333333
128,11.857142857142858
129,11.142857142857142
130,7.25
131,13.714285714285714
132,10.25
133,19.0
134,3.6
135,14.8
136,6.333333333333333
137,8.0
138,12.285714285714286
139,6.75
140,7.5
141,6.0
142,6.5
143,10.75
144,13.0
145,14.0
146,8.5
147,8.666666666666666
148,7.0
149,9.333333333333334
150,9.333333333333334
151,15.0
152,10.0
153,8.166666666666666
154,11.0
155,7.666666666666667
156,9.75
157,13.0
158,13.6
159,11.25
160,13.166666666666666
161,7.0
162,19.0
163,8.5
164,16.5
165,6.428571428571429
166,8.5
167,15.333333333333334
168,13.5
169,15.0
170,16.0
171,13.571428571428571
172,2.0
173,3.333333333333333
174,6.5
175,8.666666666666666
176,11.0
177,8.666666666666666
178,13.0
179,6.666666666666667
180,7.25
181,6.5
182,6.0
183,5.0
184,11.0
185,8.0
186,7.0
187,9.333333333333334
188,8.5
189,6.5
190,8.0
191,7.0
192,18.0
193,12.857142857142858
194,8.0
195,7.0
196,12.0
197,6.625
198,8.666666666666666
199,9.333333333333334
