,Phy Layer Delay [ms]
0,1.66635
1,1.24132
2,1.04973
3,1.7829700000000002
4,1.09138
5,1.63308
6,1.59138
7,1.63308
8,1.9579
9,1.00808
10,1.70805
11,1.72471
12,1.74132
13,1.60804
14,1.27464
15,1.84128
16,2.94069
17,1.08305
18,1.71638
19,1.04973
20,1.6913399999999998
21,2.40797
22,0.9165
23,1.81634
24,1.71638
25,1.94129
26,2.44129
27,2.43296
28,1.55806
29,1.02474
30,1.54973
31,1.64136
32,1.71638
33,1.83295
34,2.59123
35,1.93296
36,2.63288
37,1.0330700000000002
38,1.55806
39,1.95795
40,2.40797
41,2.21638
42,1.71638
43,1.49142
44,1.61637
45,1.71638
46,1.63303
47,1.71638
48,1.32462
49,2.26636
50,1.5412
51,2.51606
52,2.75783
53,2.21638
54,2.27424
55,1.66635
56,1.59138
57,1.4581
58,1.47456
59,1.68301
60,1.60804
61,2.0829000000000004
62,1.50808
63,1.92463
64,2.88253
65,1.89106
66,2.4741600000000004
67,1.86612
68,1.78297
69,1.76636
70,1.71638
71,2.18281
72,1.09143
73,1.7080000000000002
74,2.04953
75,2.22446
76,1.77469
77,2.02454
78,1.82462
79,1.1663499999999998
80,1.81634
81,1.84128
82,1.7080000000000002
83,2.03292
84,1.74132
85,1.85799
86,1.63303
87,1.93291
88,1.83295
89,1.86632
90,1.42458
91,1.70805
92,1.13303
93,2.17448
94,2.03287
95,1.73299
96,1.59138
97,1.89126
98,1.23299
99,1.59956
100,1.7080000000000002
101,1.80781
102,1.71638
103,1.6247
104,1.71638
105,1.30796
106,1.76636
107,1.18301
108,1.59138
109,1.59138
110,1.73299
111,1.84961
112,1.13303
113,1.4581
114,1.19134
115,1.7080000000000002
116,1.58305
117,1.95795
118,1.86627
119,1.81634
120,1.76636
121,1.71638
122,1.66635
123,1.67468
124,1.27464
125,1.93296
126,1.81629
127,1.76636
128,1.54973
129,1.81634
130,1.79963
131,1.86632
132,1.98289
133,1.04973
134,1.58305
135,2.2912
136,1.58305
137,1.80796
138,1.18301
139,1.80796
140,2.07452
141,1.90792
142,1.51621
143,1.58305
144,1.72466
145,1.61637
146,2.6743300000000003
147,2.47436
148,1.69134
149,1.63308
150,1.708
151,1.72466
152,1.08305
153,1.96628
154,1.58305
155,1.04973
156,1.08305
157,1.10804
158,1.73299
159,1.66635
160,1.27464
161,1.2829700000000002
162,1.71638
163,1.72466
164,1.6913399999999998
165,1.50808
166,1.54973
167,1.82462
168,2.14116
169,2.0829000000000004
170,1.93271
171,1.12475
172,1.44124
173,2.6241
174,2.00788
175,1.34961
176,1.70805
177,1.35794
178,2.0829
179,2.17448
180,1.90772
181,1.44957
182,1.66635
183,1.9163
184,1.68286
185,1.6913399999999998
186,2.04958
187,2.69932
188,1.13303
189,1.83295
190,1.91625
191,1.90792
192,1.41625
193,1.66635
194,2.92423
195,2.18306
196,1.80796
197,2.17473
198,2.20805
199,1.49142
200,2.3827800000000003
201,2.44129
202,2.44129
203,2.64126
204,1.93296
205,2.43296
206,2.26636
207,1.93296
208,2.65787
209,2.35799
210,1.58305
211,2.20805
212,1.23299
213,1.59138
214,1.00808
215,1.68286
216,1.09138
217,0.99142
218,1.58305
219,1.50808
220,0.98309
221,1.59138
222,2.24945
223,1.64949
224,1.76631
225,1.56639
226,1.89964
227,1.74132
228,1.58305
229,1.6913399999999998
230,1.98289
231,1.80796
232,2.6074400000000004
233,1.2829700000000002
234,2.7907
235,1.40792
236,1.71638
237,1.74132
238,1.6247
239,1.22466
240,1.6663499999999998
241,2.5493299999999994
242,2.54913
243,1.22466
244,1.7913
245,1.72466
246,1.95795
247,1.6913399999999998
248,1.89126
249,1.6913399999999998
250,1.19134
251,1.94129
252,1.68301
