,PhyE2E Delay [ms],server
0,28.125,LZ
1,29.375,LZ
2,36.25,LZ
3,35.0,LZ
4,29.375,LZ
5,37.5,LZ
6,36.875,LZ
7,28.75,LZ
8,28.75,LZ
9,36.875,LZ
10,36.875,LZ
11,28.75,LZ
12,28.75,LZ
13,35.625,LZ
14,28.75,LZ
15,35.625,LZ
16,36.875,LZ
17,37.5,LZ
18,36.25,LZ
19,37.5,LZ
20,28.75,LZ
21,33.75,LZ
22,28.75,LZ
23,27.5,LZ
24,36.25,LZ
25,28.75,LZ
26,28.125,LZ
27,36.875,LZ
28,28.125,LZ
29,28.125,LZ
30,28.125,LZ
31,27.5,LZ
32,36.875,LZ
33,32.5,LZ
34,28.125,LZ
35,35.625,LZ
36,28.75,LZ
37,28.75,LZ
38,36.875,LZ
39,34.375,LZ
40,28.125,LZ
41,28.125,LZ
42,28.75,LZ
43,38.75,LZ
44,28.125,LZ
45,28.125,LZ
46,28.75,LZ
47,36.875,LZ
48,32.5,LZ
49,28.125,LZ
50,28.125,LZ
51,36.25,LZ
52,31.25,LZ
53,36.875,LZ
54,28.75,LZ
55,24.375,LZ
56,29.375,LZ
57,33.125,LZ
58,36.25,LZ
59,28.75,LZ
60,35.0,LZ
61,35.625,LZ
62,28.75,LZ
63,36.25,LZ
64,27.5,LZ
65,28.75,LZ
66,37.5,LZ
67,28.75,LZ
68,37.5,LZ
69,28.75,LZ
70,25.625,LZ
71,35.0,LZ
72,37.5,LZ
73,27.5,LZ
74,36.25,LZ
75,27.5,LZ
76,28.125,LZ
77,27.5,LZ
78,36.875,LZ
79,36.875,LZ
80,36.25,LZ
81,27.5,LZ
82,28.75,LZ
83,27.5,LZ
84,27.5,LZ
85,28.75,LZ
86,36.875,LZ
87,28.125,LZ
88,28.125,LZ
89,35.625,LZ
90,36.25,LZ
91,33.125,LZ
92,28.125,LZ
93,28.125,LZ
94,31.25,LZ
95,36.875,LZ
96,28.125,LZ
97,36.25,LZ
98,28.125,LZ
99,27.5,LZ
100,36.875,LZ
101,36.875,LZ
102,38.75,LZ
103,28.75,LZ
104,36.875,LZ
105,28.125,LZ
106,36.25,LZ
107,23.75,LZ
108,25.0,LZ
109,35.625,LZ
110,26.25,LZ
111,37.5,LZ
112,32.5,LZ
113,37.5,LZ
114,28.125,LZ
115,28.75,LZ
116,34.375,LZ
117,28.125,LZ
118,28.75,LZ
119,30.0,LZ
120,27.5,LZ
121,33.125,LZ
122,28.125,LZ
123,36.25,LZ
124,36.875,LZ
125,36.875,LZ
126,37.5,LZ
127,36.875,LZ
128,28.125,LZ
129,36.25,LZ
130,28.75,LZ
131,27.5,LZ
132,28.75,LZ
133,27.5,LZ
134,36.875,LZ
135,28.75,LZ
136,32.5,LZ
137,36.25,LZ
138,28.125,LZ
139,36.25,LZ
140,28.75,LZ
141,27.5,LZ
142,27.5,LZ
143,36.875,LZ
144,27.5,LZ
145,28.125,LZ
146,36.25,LZ
147,36.875,LZ
148,34.375,LZ
149,33.125,LZ
150,36.875,LZ
151,37.5,LZ
152,31.875,LZ
153,27.5,LZ
154,36.25,LZ
155,32.5,LZ
156,28.125,LZ
157,37.5,LZ
158,27.5,LZ
159,22.5,LZ
160,28.75,LZ
161,30.625,LZ
162,36.875,LZ
163,37.5,LZ
164,38.75,LZ
165,36.875,LZ
166,37.5,LZ
167,36.875,LZ
168,36.875,LZ
169,28.75,LZ
170,38.75,LZ
171,28.75,LZ
172,36.875,LZ
173,28.125,LZ
174,36.875,LZ
175,36.875,LZ
176,35.625,LZ
177,36.875,LZ
178,36.875,LZ
179,37.5,LZ
180,36.875,LZ
181,36.875,LZ
182,38.125,LZ
183,30.625,LZ
184,36.875,LZ
185,28.125,LZ
186,36.875,LZ
187,28.125,LZ
188,36.875,LZ
189,36.875,LZ
190,36.875,LZ
191,36.875,LZ
192,36.875,LZ
193,37.5,LZ
194,23.75,LZ
195,25.625,LZ
0,10.625,WL
1,15.625,WL
2,11.875,WL
3,15.625,WL
4,13.75,WL
5,16.25,WL
6,15.625,WL
7,15.625,WL
8,16.25,WL
9,15.625,WL
10,14.375,WL
11,18.125,WL
12,7.5,WL
13,17.5,WL
14,8.125,WL
15,15.625,WL
16,12.5,WL
17,8.125,WL
18,15.0,WL
19,16.25,WL
20,14.375,WL
21,13.75,WL
22,14.375,WL
23,18.75,WL
24,16.875,WL
25,17.5,WL
26,15.625,WL
27,9.375,WL
28,15.625,WL
29,15.625,WL
30,16.875,WL
31,11.875,WL
32,14.375,WL
33,18.125,WL
34,15.0,WL
35,15.625,WL
36,8.75,WL
37,13.125,WL
38,15.625,WL
39,15.625,WL
40,12.5,WL
41,15.0,WL
42,15.625,WL
43,14.375,WL
44,11.25,WL
45,13.125,WL
46,11.25,WL
47,15.625,WL
48,14.375,WL
49,14.375,WL
50,15.625,WL
51,15.625,WL
52,10.0,WL
53,15.625,WL
54,8.125,WL
55,15.0,WL
56,10.625,WL
57,16.25,WL
58,15.625,WL
59,16.875,WL
60,11.25,WL
61,15.625,WL
62,15.0,WL
63,15.625,WL
64,15.625,WL
65,15.625,WL
66,12.5,WL
67,15.625,WL
68,15.625,WL
69,10.625,WL
70,15.625,WL
71,16.25,WL
72,15.0,WL
73,15.625,WL
74,15.625,WL
75,16.25,WL
76,15.625,WL
