,Phy Phy,Payload Bytes
0,1.64949,1200 bytes
1,1.76631,1200 bytes
2,1.56639,1200 bytes
3,1.89964,1200 bytes
4,1.74132,1200 bytes
5,1.58305,1200 bytes
6,1.6913399999999998,1200 bytes
7,1.98289,1200 bytes
8,1.80796,1200 bytes
9,2.6074400000000004,1200 bytes
10,1.2829700000000002,1200 bytes
11,1.40792,1200 bytes
12,1.71638,1200 bytes
13,1.74132,1200 bytes
14,1.6247,1200 bytes
15,1.22466,1200 bytes
16,1.81629,1200 bytes
17,1.6663499999999998,1200 bytes
18,1.98294,1200 bytes
19,2.5493299999999994,1200 bytes
20,2.54913,1200 bytes
21,1.22466,1200 bytes
22,2.18306,1200 bytes
23,1.80796,1200 bytes
24,2.3080100000000003,1200 bytes
25,2.19932,1200 bytes
26,2.17473,1200 bytes
27,2.20805,1200 bytes
28,1.49142,1200 bytes
29,2.44129,1200 bytes
30,1.93296,1200 bytes
31,2.43296,1200 bytes
32,2.26636,1200 bytes
33,1.93296,1200 bytes
34,2.35799,1200 bytes
35,2.20805,1200 bytes
36,2.21638,1200 bytes
37,1.23299,1200 bytes
38,1.50808,1200 bytes
39,1.59138,1200 bytes
40,1.68286,1200 bytes
41,1.50808,1200 bytes
42,0.99142,1200 bytes
43,1.58305,1200 bytes
44,1.50808,1200 bytes
45,0.98309,1200 bytes
46,1.59138,1200 bytes
47,1.54953,1200 bytes
48,1.52474,1200 bytes
49,1.71638,1200 bytes
50,1.63303,1200 bytes
51,1.81634,1200 bytes
52,2.04125,1200 bytes
53,1.24965,1200 bytes
54,1.6913399999999998,1200 bytes
55,1.71638,1200 bytes
56,2.29928,1200 bytes
57,1.9996,1200 bytes
58,1.68301,1200 bytes
59,1.63303,1200 bytes
60,2.03292,1200 bytes
61,1.71638,1200 bytes
62,2.24945,1200 bytes
63,1.76631,1200 bytes
64,1.34961,1200 bytes
65,1.70805,1200 bytes
66,1.35794,1200 bytes
67,2.0829,1200 bytes
68,2.17448,1200 bytes
69,1.90772,1200 bytes
70,1.44957,1200 bytes
71,1.66635,1200 bytes
72,1.9163,1200 bytes
73,1.68286,1200 bytes
74,1.6913399999999998,1200 bytes
75,2.04958,1200 bytes
76,1.13303,1200 bytes
77,1.83295,1200 bytes
78,1.91625,1200 bytes
79,1.90792,1200 bytes
80,2.2493,1200 bytes
81,1.41625,1200 bytes
82,2.33275,1200 bytes
83,1.90792,1200 bytes
84,1.6913399999999998,1200 bytes
85,1.74132,1200 bytes
86,1.94129,1200 bytes
87,1.66635,1200 bytes
88,1.91625,1200 bytes
89,2.01621,1200 bytes
90,1.91625,1200 bytes
91,1.72466,1200 bytes
92,1.39126,1200 bytes
93,1.73299,1200 bytes
94,2.1161700000000003,1200 bytes
95,1.74965,1200 bytes
96,2.22446,1200 bytes
97,1.80796,1200 bytes
98,1.7913,1200 bytes
99,1.72466,1200 bytes
100,1.95795,1200 bytes
101,1.6913399999999998,1200 bytes
102,1.89126,1200 bytes
103,1.6913399999999998,1200 bytes
104,1.19134,1200 bytes
105,1.94129,1200 bytes
106,1.68301,1200 bytes
107,1.70805,1200 bytes
108,1.93296,1200 bytes
109,1.83295,1200 bytes
110,1.89126,1200 bytes
111,1.76631,1200 bytes
112,1.76636,1200 bytes
113,1.71613,1200 bytes
114,1.6580199999999998,1200 bytes
115,1.84961,1200 bytes
116,1.74132,1200 bytes
117,2.00788,1200 bytes
118,2.19932,1200 bytes
119,1.81629,1200 bytes
120,1.69967,1200 bytes
121,1.64136,1200 bytes
122,1.70805,1200 bytes
123,1.73299,1200 bytes
124,1.58305,1200 bytes
125,1.65787,1200 bytes
126,1.59138,1200 bytes
127,1.59138,1200 bytes
128,1.69967,1200 bytes
129,1.69967,1200 bytes
130,1.54973,1200 bytes
131,1.58305,1200 bytes
132,1.59138,1200 bytes
133,1.50808,1200 bytes
134,1.4581,1200 bytes
135,1.4581,1200 bytes
136,1.64136,1200 bytes
137,1.79963,1200 bytes
138,1.5412,1200 bytes
139,1.63303,1200 bytes
140,1.08305,1200 bytes
141,1.58305,1200 bytes
142,1.82462,1200 bytes
143,1.73299,1200 bytes
144,1.41625,1200 bytes
145,1.83295,1200 bytes
146,1.71638,1200 bytes
147,1.63308,1200 bytes
148,1.59138,1200 bytes
149,1.7829700000000002,1200 bytes
150,1.99935,1200 bytes
151,1.71638,1200 bytes
0,2.15782,100 bytes
1,2.27424,100 bytes
2,1.59138,100 bytes
3,1.4581,100 bytes
4,2.39944,100 bytes
5,1.68301,100 bytes
6,2.0829000000000004,100 bytes
7,1.89106,100 bytes
8,2.4741600000000004,100 bytes
9,1.7829700000000002,100 bytes
10,1.09138,100 bytes
11,1.59138,100 bytes
12,1.93296,100 bytes
13,1.63308,100 bytes
14,1.00808,100 bytes
15,1.70805,100 bytes
16,1.72471,100 bytes
17,1.74132,100 bytes
18,1.27464,100 bytes
19,1.84128,100 bytes
20,1.04973,100 bytes
21,1.6913399999999998,100 bytes
22,2.7074,100 bytes
23,1.2746400000000002,100 bytes
24,1.69134,100 bytes
25,2.38273,100 bytes
26,2.33275,100 bytes
27,2.18281,100 bytes
28,1.7080000000000002,100 bytes
29,2.04953,100 bytes
30,1.7078,100 bytes
31,2.22446,100 bytes
32,2.02454,100 bytes
33,1.82462,100 bytes
34,1.66635,100 bytes
35,1.24132,100 bytes
36,1.04973,100 bytes
37,2.0995100000000004,100 bytes
38,1.58305,100 bytes
39,1.58305,100 bytes
40,1.18301,100 bytes
41,1.80796,100 bytes
42,2.07452,100 bytes
43,1.51621,100 bytes
44,1.72466,100 bytes
45,1.89126,100 bytes
46,2.6743300000000003,100 bytes
47,2.31589,100 bytes
48,1.63308,100 bytes
49,1.708,100 bytes
50,1.72466,100 bytes
51,1.08305,100 bytes
52,1.96628,100 bytes
53,1.58305,100 bytes
54,1.10804,100 bytes
55,1.7829700000000002,100 bytes
56,1.73299,100 bytes
57,1.66635,100 bytes
58,1.2829700000000002,100 bytes
59,1.71638,100 bytes
60,1.72466,100 bytes
61,1.6913399999999998,100 bytes
62,1.54973,100 bytes
63,1.82462,100 bytes
64,2.14116,100 bytes
65,2.0829000000000004,100 bytes
66,1.78297,100 bytes
67,1.1663499999999998,100 bytes
68,1.81634,100 bytes
69,1.7080000000000002,100 bytes
70,2.03292,100 bytes
71,1.74132,100 bytes
72,1.63303,100 bytes
73,1.93291,100 bytes
74,1.83295,100 bytes
75,1.86632,100 bytes
76,1.42458,100 bytes
77,1.70805,100 bytes
78,1.13303,100 bytes
79,2.03287,100 bytes
80,1.89126,100 bytes
81,1.23299,100 bytes
82,1.59956,100 bytes
83,1.7080000000000002,100 bytes
84,2.49107,100 bytes
85,1.80781,100 bytes
86,2.24945,100 bytes
87,0.9165,100 bytes
88,1.80801,100 bytes
89,1.81634,100 bytes
90,1.71638,100 bytes
91,1.94129,100 bytes
92,2.44129,100 bytes
93,2.43296,100 bytes
94,1.54973,100 bytes
95,1.64136,100 bytes
96,2.22471,100 bytes
97,1.71638,100 bytes
98,1.83295,100 bytes
99,2.59123,100 bytes
100,1.93296,100 bytes
101,2.63288,100 bytes
102,1.95795,100 bytes
103,2.21638,100 bytes
104,1.71638,100 bytes
105,1.49142,100 bytes
106,1.61637,100 bytes
107,1.63303,100 bytes
108,1.71638,100 bytes
109,1.59138,100 bytes
110,1.32462,100 bytes
111,2.26636,100 bytes
112,1.5412,100 bytes
113,2.51606,100 bytes
114,2.75783,100 bytes
115,1.6247,100 bytes
116,1.71638,100 bytes
117,1.30796,100 bytes
118,1.76636,100 bytes
119,1.18301,100 bytes
120,1.59138,100 bytes
121,1.73299,100 bytes
122,1.84961,100 bytes
123,1.4581,100 bytes
124,1.19134,100 bytes
125,1.7080000000000002,100 bytes
126,1.58305,100 bytes
127,1.86627,100 bytes
128,1.81634,100 bytes
129,1.76636,100 bytes
130,1.71638,100 bytes
131,1.66635,100 bytes
132,1.67468,100 bytes
133,1.27464,100 bytes
134,1.93296,100 bytes
135,1.81629,100 bytes
136,1.76636,100 bytes
137,1.54973,100 bytes
138,1.81634,100 bytes
139,1.79963,100 bytes
140,1.98289,100 bytes
141,1.12475,100 bytes
142,1.44124,100 bytes
