,Phy DataTx,RTT [ms],Payload Bytes
0,0.23323999999999992,18.0,1200 bytes
1,0.46648,19.0,1200 bytes
2,0.23323999999999992,18.0,1200 bytes
3,0.3581899999999999,17.0,1200 bytes
4,0.39984,18.0,1200 bytes
5,0.24157,16.0,1200 bytes
6,0.34986,16.0,1200 bytes
7,0.5164599999999999,18.0,1200 bytes
8,0.34986,17.0,1200 bytes
9,0.44149,17.0,1200 bytes
10,0.44982,18.0,1200 bytes
11,0.39984,17.0,1200 bytes
12,0.29154999999999986,19.0,1200 bytes
13,0.3331999999999999,17.0,1200 bytes
14,0.33319999999999994,17.0,1200 bytes
15,0.39983999999999986,18.0,1200 bytes
16,0.8329999999999999,18.0,1200 bytes
17,0.38318,17.0,1200 bytes
18,0.25823,17.0,1200 bytes
19,0.34986,18.0,1200 bytes
20,0.26656,19.0,1200 bytes
21,0.19992,17.0,1200 bytes
22,0.22491,18.0,1200 bytes
23,0.24157,19.0,1200 bytes
24,0.35819,18.0,1200 bytes
25,0.34986,18.0,1200 bytes
26,0.34986,18.0,1200 bytes
27,0.31654000000000004,17.0,1200 bytes
28,0.24157,18.0,1200 bytes
29,0.2665599999999999,19.0,1200 bytes
30,0.31654000000000004,17.0,1200 bytes
31,0.20825000000000002,18.0,1200 bytes
32,0.2499,19.0,1200 bytes
33,0.2499,17.0,1200 bytes
34,0.20825000000000002,18.0,1200 bytes
35,0.24157,17.0,1200 bytes
36,0.2499,17.0,1200 bytes
37,0.1915899999999999,19.0,1200 bytes
38,0.2499,16.0,1200 bytes
39,0.29154999999999986,18.0,1200 bytes
40,0.34986,16.0,1200 bytes
41,0.40817,17.0,1200 bytes
42,0.2499,16.0,1200 bytes
43,0.29988,17.0,1200 bytes
44,0.53312,16.0,1200 bytes
45,0.29155,17.0,1200 bytes
46,0.29154999999999986,19.0,1200 bytes
47,0.44982,17.0,1200 bytes
48,0.2499,17.0,1200 bytes
49,0.79135,17.0,1200 bytes
50,0.42483,18.0,1200 bytes
51,0.3915099999999999,18.0,1200 bytes
52,0.24157,18.0,1200 bytes
53,0.39983999999999986,17.0,1200 bytes
54,0.4998,17.0,1200 bytes
55,0.7580300000000001,17.0,1200 bytes
56,0.71638,18.0,1200 bytes
57,0.37485,18.0,1200 bytes
58,0.2499,18.0,1200 bytes
59,0.34986,18.0,1200 bytes
60,0.50813,18.0,1200 bytes
61,0.29154999999999986,17.0,1200 bytes
62,0.4165,18.0,1200 bytes
63,0.45815,19.0,1200 bytes
64,0.44982,19.0,1200 bytes
65,0.2499,19.0,1200 bytes
66,0.57477,18.0,1200 bytes
67,0.6497399999999998,18.0,1200 bytes
68,0.44982,19.0,1200 bytes
69,0.34986,18.0,1200 bytes
70,0.39984,19.0,1200 bytes
71,0.35819,16.0,1200 bytes
72,0.36651999999999996,16.0,1200 bytes
73,0.45815,18.0,1200 bytes
74,0.55811,19.0,1200 bytes
75,0.45815,17.0,1200 bytes
76,0.3915099999999999,16.0,1200 bytes
77,0.39151,17.0,1200 bytes
78,0.5831,16.0,1200 bytes
79,0.50813,19.0,1200 bytes
80,0.44982,18.0,1200 bytes
81,0.3915099999999999,16.0,1200 bytes
82,0.4165,17.0,1200 bytes
83,0.34986,17.0,1200 bytes
84,0.34986,18.0,1200 bytes
85,0.34986,18.0,1200 bytes
86,0.34153,18.0,1200 bytes
87,0.24157,18.0,1200 bytes
88,0.4165,17.0,1200 bytes
89,0.47480999999999995,18.0,1200 bytes
90,0.46648,17.0,1200 bytes
91,0.29988000000000004,17.0,1200 bytes
92,0.40817,19.0,1200 bytes
93,0.3248699999999999,17.0,1200 bytes
94,0.50813,17.0,1200 bytes
95,0.39984,18.0,1200 bytes
96,0.19992,18.0,1200 bytes
97,0.42482999999999993,18.0,1200 bytes
98,0.37484999999999996,19.0,1200 bytes
99,0.31654,18.0,1200 bytes
100,0.24157,17.0,1200 bytes
101,0.39150999999999997,16.0,1200 bytes
102,0.24157,17.0,1200 bytes
103,0.2499,18.0,1200 bytes
104,0.2499,16.0,1200 bytes
105,0.37484999999999996,19.0,1200 bytes
106,0.37484999999999996,19.0,1200 bytes
107,0.24157,17.0,1200 bytes
108,0.2499,17.0,1200 bytes
109,0.20825000000000002,18.0,1200 bytes
110,0.18326,18.0,1200 bytes
111,0.18326,16.0,1200 bytes
112,0.31654,19.0,1200 bytes
113,0.4748099999999999,18.0,1200 bytes
114,0.46648,17.0,1200 bytes
115,0.29155,16.0,1200 bytes
116,0.24157,18.0,1200 bytes
117,0.24157,18.0,1200 bytes
118,0.48314,16.0,1200 bytes
119,0.39150999999999997,17.0,1200 bytes
120,0.45815,18.0,1200 bytes
121,0.4165,18.0,1200 bytes
122,0.2499,17.0,1200 bytes
123,0.20825000000000002,18.0,1200 bytes
124,0.2499,18.0,1200 bytes
125,0.44149,18.0,1200 bytes
126,0.73304,16.0,1200 bytes
127,0.2499,18.0,1200 bytes
0,0.78302,17.0,100 bytes
1,0.2499,16.0,100 bytes
2,0.18326,16.0,100 bytes
3,0.34153,17.0,100 bytes
4,0.42483000000000004,16.0,100 bytes
5,0.6247499999999999,15.0,100 bytes
6,0.44149,20.0,100 bytes
7,0.29155,18.0,100 bytes
8,0.2499,16.0,100 bytes
9,0.34986,17.0,100 bytes
10,0.20825000000000002,19.0,100 bytes
11,0.20825000000000002,17.0,100 bytes
12,0.24157,16.0,100 bytes
13,0.27489,17.0,100 bytes
14,0.39984,16.0,100 bytes
15,0.4498199999999999,15.0,100 bytes
16,0.49979999999999997,16.0,100 bytes
17,0.22491,19.0,100 bytes
18,0.34986,19.0,100 bytes
19,0.39151,18.0,100 bytes
20,0.4998,16.0,100 bytes
21,0.7163799999999999,18.0,100 bytes
22,0.32487000000000005,18.0,100 bytes
23,0.40817000000000003,17.0,100 bytes
24,0.5164599999999999,19.0,100 bytes
25,0.6747299999999998,17.0,100 bytes
26,0.29988,17.0,100 bytes
27,0.68306,17.0,100 bytes
28,0.40817000000000003,18.0,100 bytes
29,0.36651999999999996,19.0,100 bytes
30,0.39984,18.0,100 bytes
31,0.2498999999999999,20.0,100 bytes
32,0.49147,18.0,100 bytes
33,0.24157,16.0,100 bytes
34,0.24157,17.0,100 bytes
35,0.34153,17.0,100 bytes
36,0.34986,17.0,100 bytes
37,0.5581099999999999,16.0,100 bytes
38,0.22491,17.0,100 bytes
39,0.30821,17.0,100 bytes
40,0.47480999999999995,18.0,100 bytes
41,0.7413700000000001,16.0,100 bytes
42,0.82467,18.0,100 bytes
43,0.20825000000000002,16.0,100 bytes
44,0.38317999999999997,17.0,100 bytes
45,0.38318,17.0,100 bytes
46,0.24157,18.0,100 bytes
47,0.4997999999999999,16.0,100 bytes
48,0.24157,18.0,100 bytes
49,0.30821,17.0,100 bytes
50,0.36651999999999996,19.0,100 bytes
51,0.31654000000000004,16.0,100 bytes
52,0.36651999999999996,17.0,100 bytes
53,0.44149,18.0,100 bytes
54,0.2499,17.0,100 bytes
55,0.38318,17.0,100 bytes
56,0.34986,18.0,100 bytes
57,0.2498999999999999,15.0,100 bytes
58,0.40817000000000003,16.0,100 bytes
59,0.5331199999999999,18.0,100 bytes
60,0.42483000000000004,16.0,100 bytes
61,0.39151,20.0,100 bytes
62,0.33319999999999994,19.0,100 bytes
63,0.34986,18.0,100 bytes
64,0.40817000000000003,18.0,100 bytes
65,0.44982,16.0,100 bytes
66,0.39984,15.0,100 bytes
67,0.29154999999999986,17.0,100 bytes
68,0.51646,15.0,100 bytes
69,0.4165,17.0,100 bytes
70,0.39984,16.0,100 bytes
71,0.50813,20.0,100 bytes
72,0.24157,20.0,100 bytes
73,0.29154999999999986,17.0,100 bytes
74,0.6913900000000001,18.0,100 bytes
75,0.47480999999999995,17.0,100 bytes
76,0.39151,16.0,100 bytes
77,0.20825000000000002,18.0,100 bytes
78,0.40817000000000003,16.0,100 bytes
79,0.75803,17.0,100 bytes
80,0.25823,16.0,100 bytes
81,0.79135,17.0,100 bytes
82,0.40817,17.0,100 bytes
83,0.29155,19.0,100 bytes
84,0.34986,17.0,100 bytes
85,0.2499,17.0,100 bytes
86,0.35819,17.0,100 bytes
87,0.39984,17.0,100 bytes
88,0.34986,14.0,100 bytes
89,0.17493,17.0,100 bytes
90,0.29988000000000004,18.0,100 bytes
91,0.29988000000000004,18.0,100 bytes
92,0.2499,16.0,100 bytes
93,0.44148999999999994,18.0,100 bytes
94,0.50813,16.0,100 bytes
95,0.34986,15.0,100 bytes
96,0.47481000000000007,19.0,100 bytes
97,0.4165,18.0,100 bytes
98,0.2499,17.0,100 bytes
99,0.2499,18.0,100 bytes
100,0.21658,18.0,100 bytes
101,0.2832199999999999,16.0,100 bytes
102,0.21658,17.0,100 bytes
103,0.2499,17.0,100 bytes
104,0.2499,18.0,100 bytes
105,0.40817000000000003,16.0,100 bytes
106,0.29988000000000004,17.0,100 bytes
107,0.4998,14.0,100 bytes
108,0.6247499999999999,18.0,100 bytes
109,0.7913500000000001,18.0,100 bytes
110,0.2832199999999999,17.0,100 bytes
111,0.2499,18.0,100 bytes
112,0.34986,18.0,100 bytes
113,0.29988000000000004,16.0,100 bytes
114,0.34153,17.0,100 bytes
115,0.2499,18.0,100 bytes
116,0.31654000000000004,16.0,100 bytes
